token,count,proportion
daiin,751,0.020232771162239344
ol,507,0.013659141117517107
chedy,490,0.013201142302925805
aiin,448,0.012069615819817877
shedy,424,0.01142302925804192
chol,378,0.010183738347971335
ar,344,0.009267740718788728
or,344,0.009267740718788728
chey,336,0.00905221186486341
qokeey,307,0.008270919769384126
qokeedy,301,0.008109273128940137
dar,286,0.007705156527830164
shey,271,0.00730103992672019
qokain,271,0.00730103992672019
qokedy,263,0.00708551107279487
qokaiin,257,0.006923864432350881
al,249,0.006708335578425562
dal,228,0.006142572336871599
chor,203,0.005469044668354976
okaiin,203,0.005469044668354976
dy,201,0.005415162454873646
s,186,0.005011045853763673
qokal,182,0.004903281426801013
dain,181,0.004876340320060348
shol,174,0.004687752572875694
cheey,173,0.004660811466135029
okeey,172,0.004633870359394364
cheol,166,0.004472223718950374
otedy,153,0.004121989331321731
otaiin,149,0.004014224904359071
qokar,149,0.004014224904359071
qol,146,0.003933401584137076
chdy,143,0.003852578263915082
sheey,141,0.0037986960504337516
okain,137,0.003690931623471092
otar,137,0.003690931623471092
otal,135,0.0036370494099897625
oteey,134,0.0036101083032490976
chy,133,0.0035831671965084327
y,132,0.0035562260897677674
qoky,131,0.0035292849830271026
chckhy,130,0.0035023438762864377
saiin,128,0.003448461662805108
okal,128,0.003448461662805108
okar,124,0.0033406972358424485
sho,121,0.0032598739156204535
lchedy,119,0.003205991702139124
okedy,117,0.003152109488657794
sheol,110,0.0029635217414731396
dol,109,0.0029365806347324747
oty,104,0.0028018751010291504
qokol,103,0.0027749339942884856
qokey,102,0.0027479928875478203
okeedy,102,0.0027479928875478203
dair,99,0.0026671695673258257
oteedy,99,0.0026671695673258257
cheor,98,0.002640228460585161
otain,95,0.0025594051403631662
shor,92,0.0024785818201411712
shy,91,0.0024516407134005064
qotedy,90,0.0024246996066598415
cthy,89,0.0023977584999191766
ain,87,0.002343876286437847
chody,86,0.002316935179697182
r,85,0.002289994072956517
cheody,84,0.0022630529662158523
sheedy,83,0.002236111859475187
am,82,0.002209170752734522
otol,81,0.0021822296459938573
oky,80,0.0021552885392531924
sar,80,0.0021552885392531924
qoty,78,0.0021014063257718627
chcthy,77,0.002074465219031198
dam,77,0.002074465219031198
okol,76,0.002047524112290533
qotaiin,74,0.0019936418988092033
raiin,73,0.001966700792068538
qoteedy,73,0.001966700792068538
air,73,0.001966700792068538
o,71,0.0019128185785872085
char,71,0.0019128185785872085
dor,70,0.0018858774718465434
qokchy,67,0.0018050541516245488
okeol,65,0.0017511719381432189
kaiin,64,0.001724230831402554
cheo,64,0.001724230831402554
sain,64,0.001724230831402554
qotain,64,0.001724230831402554
sol,63,0.0016972897246618891
cheky,63,0.0016972897246618891
qotar,63,0.0016972897246618891
okey,61,0.0016434075111805592
qotchy,60,0.0016164664044398943
cho,60,0.0016164664044398943
cheedy,59,0.0015895252976992295
odaiin,57,0.0015356430842178997
otey,57,0.0015356430842178997
qotal,57,0.0015356430842178997
qokchdy,56,0.0015087019774772347
cthol,55,0.0014817608707365698
shckhy,55,0.0014817608707365698
l,55,0.0014817608707365698
ykeey,53,0.00142787865725524
keedy,53,0.00142787865725524
kar,52,0.0014009375505145752
shody,51,0.0013739964437739101
sheor,51,0.0013739964437739101
olaiin,51,0.0013739964437739101
sal,49,0.0013201142302925804
sheody,49,0.0013201142302925804
opchedy,49,0.0013201142302925804
lkaiin,49,0.0013201142302925804
sor,48,0.0012931731235519156
qokeol,48,0.0012931731235519156
chear,47,0.0012662320168112507
sheo,47,0.0012662320168112507
qotol,47,0.0012662320168112507
tol,46,0.0012392909100705856
kain,46,0.0012392909100705856
checkhy,46,0.0012392909100705856
chal,45,0.0012123498033299207
otam,45,0.0012123498033299207
lchey,45,0.0012123498033299207
oly,45,0.0012123498033299207
otchy,44,0.0011854086965892559
shdy,44,0.0011854086965892559
kedy,44,0.0011854086965892559
ykaiin,43,0.001158467589848591
keey,43,0.001158467589848591
daiinplant,43,0.001158467589848591
tar,43,0.001158467589848591
cthor,42,0.0011315264831079262
otor,42,0.0011315264831079262
lor,42,0.0011315264831079262
qoteey,42,0.0011315264831079262
lshedy,42,0.0011315264831079262
olkeedy,42,0.0011315264831079262
cthey,41,0.001104585376367261
qodaiin,41,0.001104585376367261
aiiin,41,0.001104585376367261
tedy,41,0.001104585376367261
lkeey,41,0.001104585376367261
oteol,40,0.0010776442696265962
chaiin,40,0.0010776442696265962
taiin,40,0.0010776442696265962
ytaiin,40,0.0010776442696265962
ody,40,0.0010776442696265962
lkeedy,40,0.0010776442696265962
olkeey,40,0.0010776442696265962
qokchedy,39,0.0010507031628859314
chodaiin,38,0.0010237620561452665
lol,38,0.0010237620561452665
oteody,38,0.0010237620561452665
kol,36,0.0009698798426639367
okeody,36,0.0009698798426639367
ches,36,0.0009698798426639367
sheky,35,0.0009429387359232717
d,35,0.0009429387359232717
choty,35,0.0009429387359232717
choky,35,0.0009429387359232717
qokor,35,0.0009429387359232717
oraiin,35,0.0009429387359232717
