glyph,count,proportion
o,25592,0.126990428081597
e,20544,0.10194167530901567
h,17877,0.08870771658388206
y,17698,0.08781949813176398
a,15775,0.07827735241431669
c,13373,0.06635835396745846
d,13073,0.06486971969016558
i,12072,0.059902643318265045
l,12029,0.0596892724051864
k,10962,0.05439469649228143
t,8377,0.04156763113627454
r,7839,0.038898013665662666
n,7531,0.037369682474308656
s,7489,0.037161273675487654
q,5430,0.02694428041900093
p,3035,0.01506001677194619
m,1125,0.005582378539848259
f,869,0.004312077289891677
g,433,0.002148595473559374
u,309,0.001533293305611655
