token,count,proportion
daiin,751,0.020232771162239344
ol,507,0.013659141117517107
chedy,490,0.013201142302925805
aiin,448,0.012069615819817877
shedy,424,0.01142302925804192
chol,378,0.010183738347971335
ar,344,0.009267740718788728
or,344,0.009267740718788728
chey,336,0.00905221186486341
qokeey,307,0.008270919769384126
qokeedy,301,0.008109273128940137
dar,286,0.007705156527830164
shey,271,0.00730103992672019
qokain,271,0.00730103992672019
qokedy,263,0.00708551107279487
qokaiin,257,0.006923864432350881
al,249,0.006708335578425562
dal,228,0.006142572336871599
chor,203,0.005469044668354976
okaiin,203,0.005469044668354976
