word_length,count,proportion
1,625,0.016838191712915566
2,2082,0.05609138423406434
3,3186,0.0858343660757584
4,6371,0.17164179104477612
5,9099,0.24513713023331
6,7220,0.19451479066760063
7,4299,0.11581981787811843
8,1845,0.04970634193652675
9,846,0.02279217630260251
10,439,0.011827145859151894
11,249,0.006708335578425562
12,186,0.005011045853763673
13,140,0.0037717549436930868
14,129,0.003475402769545773
15,94,0.0025324640336225014
16,80,0.0021552885392531924
17,69,0.0018589363651058785
18,48,0.0012931731235519156
19,23,0.0006196454550352928
20,17,0.0004579988145913034
21,12,0.0003232932808879789
22,7,0.00018858774718465433
23,7,0.00018858774718465433
24,6,0.00016164664044398944
25,5,0.00013470553370332453
26,5,0.00013470553370332453
27,2,5.388221348132981e-05
28,4,0.00010776442696265962
29,4,0.00010776442696265962
30,2,5.388221348132981e-05
31,3,8.082332022199472e-05
32,1,2.6941106740664906e-05
33,1,2.6941106740664906e-05
34,3,8.082332022199472e-05
35,1,2.6941106740664906e-05
36,3,8.082332022199472e-05
37,1,2.6941106740664906e-05
38,1,2.6941106740664906e-05
41,1,2.6941106740664906e-05
42,1,2.6941106740664906e-05
54,1,2.6941106740664906e-05
