token,overall_count,line_initial_count,line_medial_count,line_final_count,single_token_line_count
a,3,1,2,0,0
acheody,1,0,1,0,0
ackaldy,1,0,0,0,1
acthedy,1,0,1,0,0
adairchdy,1,1,0,0,0
adal,1,0,1,0,0
adam,2,0,0,2,0
adar,1,0,1,0,0
adchey,1,0,1,0,0
adeeodyplantykecthhy,1,0,1,0,0
ador,1,0,1,0,0
ady,1,0,0,1,0
aeeodeey,1,0,1,0,0
aekeeey,1,0,1,0,0
aes,1,0,0,1,0
ag,1,0,0,1,0
aicky,1,0,0,1,0
aiees,1,0,1,0,0
aifhhy,1,0,1,0,0
aifhy,1,0,1,0,0
aiichy,1,0,1,0,0
aiicthy,1,0,0,1,0
aiidalplantaii,1,0,1,0,0
aiidy,2,0,2,0,0
aiiikhedy,1,0,1,0,0
aiiiky,1,0,1,0,0
aiiin,41,0,39,2,0
aiiinro,1,0,1,0,0
aiikam,1,0,0,1,0
aiil,1,0,1,0,0
aiildy,1,0,1,0,0
aiily,1,0,0,1,0
aiim,2,0,1,1,0
aiimfigure,1,0,0,1,0
aiin,448,0,423,25,0
aiinal,1,0,0,1,0
aiincreaseo,1,0,1,0,0
aiinfigure,1,0,0,1,0
aiinod,1,0,0,0,1
aiinog,1,0,0,1,0
aiinplant,8,0,0,8,0
aiinplantokain,1,0,1,0,0
aiinplantokeom,1,0,1,0,0
aiinplantoteedy,1,0,1,0,0
aiinplantotody,1,0,1,0,0
aiinplantshy,1,0,1,0,0
aiinplantykeeolplantoctheody,1,0,1,0,0
aiiny,4,0,1,3,0
aiioly,1,0,0,1,0
aiip,1,0,1,0,0
aiir,23,0,23,0,0
aiiral,1,0,0,1,0
aiiraly,1,0,0,1,0
aiirchar,1,0,1,0,0
aiirody,1,0,0,1,0
aiirol,1,0,1,0,0
aiiry,1,0,1,0,0
aiis,3,0,3,0,0
aiisaim,1,0,0,1,0
aiisockhy,1,0,1,0,0
aiisod,1,0,1,0,0
aikhdy,1,0,1,0,0
aikhekyplant,1,0,0,1,0
aikhy,1,0,1,0,0
ail,5,0,5,0,0
aildy,3,0,1,2,0
aim,5,0,2,3,0
aimplant,1,0,0,1,0
aimplantkcheo,1,0,1,0,0
ain,87,0,77,9,1
ainaly,1,0,0,0,1
ainam,1,0,0,1,0
ainarals,1,0,1,0,0
aindar,1,0,0,1,0
ainplant,2,0,0,2,0
ainplantchofochcphdy,1,0,0,1,0
ainplantotal,1,0,1,0,0
ainy,2,0,2,0,0
aiodam,1,0,0,1,0
aiphey,1,0,1,0,0
aiphhey,1,0,1,0,0
aiphy,1,0,1,0,0
air,73,0,69,3,1
airal,2,0,1,1,0
airaldy,1,0,1,0,0
airam,1,0,0,1,0
airar,1,0,0,1,0
airchy,1,0,1,0,0
airod,2,0,1,1,0
airody,2,0,2,0,0
airodyspraychedaly,1,0,0,1,0
airol,1,0,1,0,0
airolm,1,0,0,0,1
airols,1,0,0,1,0
airorlchy,1,0,1,0,0
airoy,1,0,1,0,0
airplantcs,1,0,1,0,0
