token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
ram,line_final,14,14,0.0031854379977246873,0.00037717549436930867,8.445506257110354
daiinplant,line_final,43,43,0.009783845278725825,0.001158467589848591,8.445506257110353
splant,line_final,19,19,0.004323094425483504,0.0005118810280726332,8.445506257110353
cthyplant,line_final,16,16,0.0036405005688282138,0.0004310577078506385,8.445506257110353
dyplant,line_final,16,16,0.0036405005688282138,0.0004310577078506385,8.445506257110353
dalplant,line_final,13,13,0.0029579067121729237,0.0003502343876286438,8.445506257110353
olfigure,line_final,11,11,0.002502844141069397,0.00029635217414731397,8.445506257110353
damplant,line_final,10,10,0.0022753128555176336,0.00026941106740664906,8.445506257110353
sy,line_final,14,15,0.0031854379977246873,0.0004041166011099736,7.88247250663633
ary,line_final,21,23,0.00477815699658703,0.0006196454550352928,7.711114408665974
ry,line_final,10,11,0.0022753128555176336,0.00029635217414731397,7.677732961009411
qokam,line_final,18,22,0.004095563139931741,0.0005927043482946279,6.90995966490847
ldy,line_final,14,18,0.0031854379977246873,0.00048493992133196833,6.568727088863608
oly,line_final,34,45,0.007736063708759955,0.0012123498033299207,6.381049172038933
am,line_final,60,82,0.013651877133105802,0.002209170752734522,6.179638724714893
om,line_final,14,20,0.0031854379977246873,0.0005388221348132981,5.911854379977248
dam,line_final,48,77,0.010921501706484642,0.002074465219031198,5.264731173263597
okam,line_final,15,25,0.0034129692832764505,0.0006735276685166226,5.067303754266212
otam,line_final,27,45,0.0061433447098976105,0.0012123498033299207,5.067303754266211
oldy,line_final,11,20,0.002502844141069397,0.0005388221348132981,4.645028441410695
dary,line_final,10,20,0.0022753128555176336,0.0005388221348132981,4.222753128555176
daly,line_final,11,24,0.002502844141069397,0.0006465865617759578,3.8708570345089117
aly,line_final,12,28,0.0027303754266211604,0.0007543509887386173,3.619502681618723
dy,line_final,83,201,0.01888509670079636,0.005415162454873646,3.487447857413728
lol,line_final,12,38,0.0027303754266211604,0.0010237620561452665,2.667001975929585
d,line_final,11,35,0.002502844141069397,0.0009429387359232717,2.654301966520397
ody,line_final,10,40,0.0022753128555176336,0.0010776442696265962,2.111376564277588
oky,line_final,17,80,0.0038680318543799774,0.0021552885392531924,1.79467007963595
oty,line_final,20,104,0.004550625711035267,0.0028018751010291504,1.6241358186750676
qoty,line_final,13,78,0.0029579067121729237,0.0021014063257718627,1.4075843761850588
sar,line_final,13,80,0.0029579067121729237,0.0021552885392531924,1.3723947667804324
dal,line_final,36,228,0.008191126279863481,0.006142572336871599,1.3335009879647926
qoky,line_final,20,131,0.004550625711035267,0.0035292849830271026,1.2893902682611225
