token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
a,8.082332022199472e-05,0.00022753128555176336,7.268498328245384e-05,0.0,0.0
acheody,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
ackaldy,2.6941106740664906e-05,0.0,0.0,0.0,0.0012315270935960591
acthedy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
adairchdy,2.6941106740664906e-05,0.00022753128555176336,0.0,0.0,0.0
adal,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
adam,5.388221348132981e-05,0.0,0.0,0.0004550625711035267,0.0
adar,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
adchey,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
adeeodyplantykecthhy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
ador,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
ady,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aeeodeey,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aekeeey,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aes,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
ag,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aicky,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiees,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aifhhy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aifhy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiichy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiicthy,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiidalplantaii,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiidy,5.388221348132981e-05,0.0,7.268498328245384e-05,0.0,0.0
aiiikhedy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiiiky,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiiin,0.001104585376367261,0.0,0.00141735717400785,0.0004550625711035267,0.0
aiiinro,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiikam,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiil,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiildy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiily,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiim,5.388221348132981e-05,0.0,3.634249164122692e-05,0.00022753128555176336,0.0
aiimfigure,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiin,0.012069615819817877,0.0,0.015372873964238988,0.005688282138794084,0.0
aiinal,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiincreaseo,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiinfigure,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiinod,2.6941106740664906e-05,0.0,0.0,0.0,0.0012315270935960591
aiinog,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiinplant,0.00021552885392531925,0.0,0.0,0.0018202502844141069,0.0
aiinplantokain,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiinplantokeom,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiinplantoteedy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiinplantotody,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiinplantshy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiinplantykeeolplantoctheody,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiiny,0.00010776442696265962,0.0,3.634249164122692e-05,0.0006825938566552901,0.0
aiioly,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiip,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiir,0.0006196454550352928,0.0,0.0008358773077482192,0.0,0.0
aiiral,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiiraly,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiirchar,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiirody,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiirol,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiiry,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
aiis,8.082332022199472e-05,0.0,0.00010902747492368077,0.0,0.0
aiisaim,2.6941106740664906e-05,0.0,0.0,0.00022753128555176336,0.0
aiisockhy,2.6941106740664906e-05,0.0,3.634249164122692e-05,0.0,0.0
