token,count,share
daiin,84,0.01911262798634812
dy,83,0.01888509670079636
am,60,0.013651877133105802
dam,48,0.010921501706484642
daiinplant,43,0.009783845278725825
dal,36,0.008191126279863481
dar,36,0.008191126279863481
oly,34,0.007736063708759955
al,33,0.007508532423208191
chedy,33,0.007508532423208191
ol,31,0.007053469852104664
otam,27,0.0061433447098976105
aiin,25,0.005688282138794084
ar,23,0.005233219567690558
dain,21,0.00477815699658703
ary,21,0.00477815699658703
oty,20,0.004550625711035267
qoky,20,0.004550625711035267
splant,19,0.004323094425483504
shedy,19,0.004323094425483504
chdy,18,0.004095563139931741
qokam,18,0.004095563139931741
s,18,0.004095563139931741
y,17,0.0038680318543799774
oky,17,0.0038680318543799774
lchedy,17,0.0038680318543799774
cthyplant,16,0.0036405005688282138
dyplant,16,0.0036405005688282138
chey,16,0.0036405005688282138
okam,15,0.0034129692832764505
