token,count,share
daiin,148,0.03367463026166098
saiin,54,0.012286689419795221
dain,47,0.010693970420932878
sol,38,0.008646188850967008
dar,35,0.007963594994311717
label,35,0.007963594994311717
sain,35,0.007963594994311717
y,34,0.007736063708759955
sor,34,0.007736063708759955
sho,33,0.007508532423208191
qokeey,32,0.0072810011376564275
qokeedy,32,0.0072810011376564275
dair,30,0.006825938566552901
or,30,0.006825938566552901
ol,29,0.006598407281001138
sar,28,0.006370875995449375
dshedy,28,0.006370875995449375
tol,27,0.0061433447098976105
qokaiin,25,0.005688282138794084
dor,24,0.005460750853242321
tchedy,23,0.005233219567690558
ycheey,21,0.00477815699658703
shor,19,0.004323094425483504
pol,19,0.004323094425483504
qokedy,19,0.004323094425483504
qokain,19,0.004323094425483504
chol,18,0.004095563139931741
qotchy,18,0.004095563139931741
okeey,17,0.0038680318543799774
dol,16,0.0036405005688282138
