token,count,share
daiin,519,0.018861753161796772
chedy,451,0.01639046373019334
ol,447,0.016245093763628433
aiin,423,0.015372873964238988
shedy,398,0.014464311673208316
chol,356,0.012937927024276784
ar,316,0.011484227358627707
chey,315,0.011447884866986481
or,299,0.01086640500072685
qokeey,265,0.009630760284925134
qokeedy,264,0.009594417793283908
shey,256,0.009303677860154092
qokain,243,0.008831225468818142
qokedy,237,0.008613170518970781
qokaiin,221,0.00803169065271115
dar,215,0.007813635702863789
al,215,0.007813635702863789
chor,188,0.006832388428550661
dal,182,0.0066143334787033
okaiin,175,0.006359936037214711
cheey,166,0.006032853612443669
qokal,161,0.005851141154237535
cheol,155,0.005633086204390173
shol,154,0.005596743712748946
s,153,0.005560401221107719
okeey,149,0.005415031254542811
otedy,140,0.005087948829771769
qokar,138,0.005015263846489315
sheey,135,0.004906236371565635
otaiin,133,0.004833551388283181
