token,count,proportion
daiin,864,0.022756604419627572
ol,539,0.014196539099744516
chedy,501,0.013195669923881265
aiin,470,0.012379171385677035
shedy,427,0.0112466088972002
chol,396,0.01043011035899597
or,367,0.009666289145837174
ar,353,0.009297547870519136
chey,344,0.00906049990781468
dar,319,0.008402033344746753
qokeey,308,0.008112308056996866
qokeedy,305,0.008033292069428714
shey,283,0.007453841493928939
qokain,279,0.00734848684383807
qokedy,272,0.00716411620617905
dy,271,0.007137777543656333
qokaiin,262,0.006900729580951879
al,261,0.006874390918429162
s,255,0.00671635894329286
dal,253,0.006663681618247426
chor,219,0.005768167092475044
okaiin,212,0.0055837964548160245
dain,211,0.005557457792293307
qokal,191,0.005030684541838966
shol,187,0.004925329891748097
y,176,0.004635604603998209
okeey,176,0.004635604603998209
cheey,174,0.004582927278952775
cheol,173,0.0045565886164300575
chy,155,0.00408249269102115
otedy,155,0.00408249269102115
otaiin,154,0.004056154028498433
chdy,152,0.004003476703452999
qokar,152,0.004003476703452999
qol,151,0.003977138040930282
qoky,147,0.003871783390839413
okain,144,0.0037927674032712617
saiin,144,0.0037927674032712617
sheey,144,0.0037927674032712617
otal,143,0.0037664287407485446
otar,141,0.0037137514157031108
oteey,140,0.0036874127531803936
chckhy,140,0.0036874127531803936
okal,138,0.0036347354281349594
sho,130,0.0034240261279532224
okar,129,0.0033976874654305053
lchedy,119,0.0031343008402033344
okedy,118,0.0031079621776806173
dol,117,0.0030816235151579
oty,115,0.003028946190112466
sheol,114,0.003002607527589749
cthy,111,0.002923591540021598
shy,107,0.0028182368899307294
qokey,107,0.0028182368899307294
dair,106,0.0027918982274080122
qokol,105,0.002765559564885295
okeedy,105,0.002765559564885295
oky,102,0.0026865435773171437
cheor,100,0.0026338662522717095
oteedy,100,0.0026338662522717095
r,99,0.0026075275897489924
dam,98,0.0025811889272262752
shor,97,0.0025548502647035586
otain,96,0.0025285116021808414
chody,94,0.002475834277135407
ain,92,0.002423156952089973
o,91,0.002396818289567256
qotedy,91,0.002396818289567256
cheody,89,0.0023441409645218216
am,88,0.0023178023019991044
qoty,87,0.0022914636394763873
otol,86,0.00226512497695367
sar,84,0.002212447651908236
sheedy,84,0.002212447651908236
okol,83,0.002186108989385519
qotaiin,79,0.0020807543392946507
chcthy,79,0.0020807543392946507
sol,75,0.0019753996892037822
raiin,75,0.0019753996892037822
dor,74,0.001949061026681065
qoteedy,74,0.001949061026681065
air,74,0.001949061026681065
char,72,0.0018963837016356309
cho,69,0.0018173677140674797
qokchy,69,0.0018173677140674797
sain,68,0.0017910290515447626
okeol,66,0.0017383517264993283
kaiin,65,0.0017120130639766112
cheo,65,0.0017120130639766112
cheky,65,0.0017120130639766112
okey,64,0.001685674401453894
qotain,64,0.001685674401453894
qotchy,63,0.0016593357389311772
qotar,63,0.0016593357389311772
odaiin,61,0.001606658413885743
cthol,61,0.001606658413885743
shckhy,60,0.0015803197513630258
l,59,0.0015539810888403087
cheedy,59,0.0015539810888403087
qotal,59,0.0015539810888403087
ykeey,58,0.0015276424263175915
sor,57,0.0015013037637948744
oly,57,0.0015013037637948744
otey,57,0.0015013037637948744
qokchdy,56,0.0014749651012721575
shody,55,0.0014486264387494404
sal,55,0.0014486264387494404
keedy,53,0.0013959491137040061
d,52,0.001369610451181289
kar,52,0.001369610451181289
olaiin,52,0.001369610451181289
qokeol,52,0.001369610451181289
chear,51,0.0013432717886585719
cthey,51,0.0013432717886585719
sheor,51,0.0013432717886585719
sheody,50,0.0013169331261358547
opchedy,50,0.0013169331261358547
lkaiin,49,0.0012905944636131376
chal,48,0.0012642558010904207
otchy,48,0.0012642558010904207
tol,48,0.0012642558010904207
kain,48,0.0012642558010904207
sheo,47,0.0012379171385677036
qotol,47,0.0012379171385677036
ody,47,0.0012379171385677036
otam,47,0.0012379171385677036
checkhy,47,0.0012379171385677036
otor,46,0.0012115784760449865
shdy,46,0.0012115784760449865
ykaiin,45,0.0011852398135222693
keey,45,0.0011852398135222693
chaiin,45,0.0011852398135222693
cthor,45,0.0011852398135222693
lchey,45,0.0011852398135222693
chodaiin,44,0.0011589011509995522
lol,44,0.0011589011509995522
kedy,44,0.0011589011509995522
ytaiin,43,0.001132562488476835
tar,43,0.001132562488476835
lor,43,0.001132562488476835
oteol,42,0.001106223825954118
qodaiin,42,0.001106223825954118
taiin,42,0.001106223825954118
qoteey,42,0.001106223825954118
tedy,42,0.001106223825954118
lshedy,42,0.001106223825954118
olkeedy,42,0.001106223825954118
aiiin,41,0.001079885163431401
lkeedy,41,0.001079885163431401
lkeey,41,0.001079885163431401
olkeey,40,0.001053546500908684
ckhy,39,0.0010272078383859668
choky,39,0.0010272078383859668
okchy,39,0.0010272078383859668
oteody,39,0.0010272078383859668
qokchedy,39,0.0010272078383859668
oraiin,38,0.0010008691758632497
chos,38,0.0010008691758632497
olchedy,38,0.0010008691758632497
kol,37,0.0009745305133405326
choty,37,0.0009745305133405326
okeody,37,0.0009745305133405326
sheky,36,0.0009481918508178154
qokor,36,0.0009481918508178154
ches,36,0.0009481918508178154
ykar,36,0.0009481918508178154
dshedy,36,0.0009481918508178154
oiin,35,0.0009218531882950984
sy,35,0.0009218531882950984
sheckhy,35,0.0009218531882950984
lkain,35,0.0009218531882950984
shar,34,0.0008955145257723813
os,34,0.0008955145257723813
okor,34,0.0008955145257723813
pchedy,34,0.0008955145257723813
otchedy,34,0.0008955145257723813
chees,33,0.0008691758632496642
cheos,33,0.0008691758632496642
tchedy,33,0.0008691758632496642
olkain,33,0.0008691758632496642
ckhey,32,0.000842837200726947
okchey,32,0.000842837200726947
qokeody,32,0.000842837200726947
chedaiin,32,0.000842837200726947
qopchedy,32,0.000842837200726947
shcthy,31,0.00081649853820423
otchey,31,0.00081649853820423
olor,31,0.00081649853820423
olkaiin,31,0.00081649853820423
kchy,30,0.0007901598756815129
dchy,30,0.0007901598756815129
qokchey,30,0.0007901598756815129
cheal,30,0.0007901598756815129
daly,30,0.0007901598756815129
chckhey,30,0.0007901598756815129
ykeedy,30,0.0007901598756815129
otchdy,30,0.0007901598756815129
chedar,30,0.0007901598756815129
lkar,30,0.0007901598756815129
oteos,29,0.0007638212131587958
qotor,29,0.0007638212131587958
opchey,29,0.0007638212131587958
lkedy,29,0.0007638212131587958
olchey,29,0.0007638212131587958
aly,29,0.0007638212131587958
otchol,28,0.0007374825506360788
qo,28,0.0007374825506360788
sair,28,0.0007374825506360788
oldy,28,0.0007374825506360788
checthy,28,0.0007374825506360788
yteey,28,0.0007374825506360788
yteedy,28,0.0007374825506360788
okeeey,27,0.0007111438881133616
orain,27,0.0007111438881133616
olkedy,27,0.0007111438881133616
dchedy,27,0.0007111438881133616
kor,26,0.0006848052255906445
dchor,26,0.0006848052255906445
dchol,26,0.0006848052255906445
oaiin,26,0.0006848052255906445
chl,26,0.0006848052255906445
ytar,26,0.0006848052255906445
okam,26,0.0006848052255906445
ary,26,0.0006848052255906445
qokeeey,26,0.0006848052255906445
rain,26,0.0006848052255906445
she,25,0.0006584665630679274
ky,25,0.0006584665630679274
chety,25,0.0006584665630679274
qokam,25,0.0006584665630679274
ldy,25,0.0006584665630679274
okchedy,25,0.0006584665630679274
odar,24,0.0006321279005452104
ycheey,24,0.0006321279005452104
pol,24,0.0006321279005452104
yty,24,0.0006321279005452104
qotey,24,0.0006321279005452104
cheeky,24,0.0006321279005452104
dary,24,0.0006321279005452104
ytedy,24,0.0006321279005452104
chedal,24,0.0006321279005452104
okaly,24,0.0006321279005452104
qotchedy,24,0.0006321279005452104
shodaiin,23,0.0006057892380224932
qokeeo,23,0.0006057892380224932
tchy,23,0.0006057892380224932
qoaiin,23,0.0006057892380224932
daiir,23,0.0006057892380224932
tor,23,0.0006057892380224932
qor,23,0.0006057892380224932
aiir,23,0.0006057892380224932
ykedy,23,0.0006057892380224932
kal,23,0.0006057892380224932
olshedy,23,0.0006057892380224932
ched,23,0.0006057892380224932
qotchdy,23,0.0006057892380224932
tchey,22,0.0005794505754997761
ckhol,22,0.0005794505754997761
ykchy,22,0.0005794505754997761
okeor,22,0.0005794505754997761
om,22,0.0005794505754997761
keody,22,0.0005794505754997761
okair,22,0.0005794505754997761
olky,22,0.0005794505754997761
kchedy,22,0.0005794505754997761
cthar,21,0.000553111912977059
shear,21,0.000553111912977059
soiin,21,0.000553111912977059
ydaiin,21,0.000553111912977059
kchey,21,0.000553111912977059
