glyph,count,proportion
o,25468,0.1329609230207001
e,20070,0.1047795557179775
h,17856,0.09322091414550106
y,17655,0.0921715523767261
a,14281,0.07455689263619515
c,13314,0.0695084705943773
d,12973,0.06772821008118196
i,11732,0.06124931478242711
k,10934,0.05708319193923099
l,10518,0.05491137852723903
r,7456,0.03892557884570205
s,7387,0.03856535017880916
t,6944,0.03625257772325041
n,6141,0.03206035135346785
q,5423,0.028311884935654806
p,1630,0.008509749667180036
m,1116,0.005826307134093816
f,505,0.002636456185230625
g,96,0.0005011877104596831
x,35,0.0001827246861050928
