token,overall_count,line_initial_count,line_medial_count,line_final_count,single_token_line_count
a,5,1,3,1,0
acheody,1,0,1,0,0
ackaldy,1,0,0,0,1
acthedy,1,0,1,0,0
adairchdy,1,1,0,0,0
adal,1,0,1,0,0
adam,2,0,0,2,0
adar,1,0,1,0,0
adchey,1,0,1,0,0
adeeody,1,0,1,0,0
ador,1,0,1,0,0
ady,1,0,0,1,0
aeeodeey,1,0,1,0,0
aekeeey,1,0,1,0,0
aes,1,0,0,1,0
aey,1,0,1,0,0
ag,1,0,0,1,0
aicky,1,0,0,1,0
aiees,1,0,1,0,0
aifhhy,1,0,1,0,0
aifhy,1,0,1,0,0
aii,1,0,1,0,0
aiichy,1,0,1,0,0
aiicthy,1,0,0,1,0
aiidal,1,0,1,0,0
aiidy,2,0,2,0,0
aiiikhedy,1,0,1,0,0
aiiiky,1,0,1,0,0
aiiin,41,0,39,2,0
aiiinro,1,0,1,0,0
aiikam,1,0,0,1,0
aiil,1,0,1,0,0
aiildy,1,0,1,0,0
aiily,1,0,0,1,0
aiim,3,0,1,2,0
aiin,470,0,436,34,0
aiinal,1,0,0,1,0
aiinod,1,0,0,0,1
aiinog,1,0,0,1,0
aiiny,4,0,1,3,0
aiioly,1,0,0,1,0
aiip,1,0,1,0,0
aiir,23,0,23,0,0
aiiral,1,0,0,1,0
aiiraly,1,0,0,1,0
aiirchar,1,0,1,0,0
aiirody,1,0,0,1,0
aiirol,1,0,1,0,0
aiiry,1,0,1,0,0
aiis,3,0,3,0,0
aiisaim,1,0,0,1,0
aiisockhy,1,0,1,0,0
aiisod,1,0,1,0,0
aikhdy,1,0,1,0,0
aikheky,1,0,0,1,0
aikhy,2,0,2,0,0
ail,5,0,5,0,0
aildy,3,0,1,2,0
aim,7,0,3,4,0
ain,92,0,80,11,1
ainaly,1,0,0,0,1
ainam,1,0,0,1,0
ainarals,1,0,1,0,0
aindar,1,0,0,1,0
ainy,2,0,2,0,0
aiodam,1,0,0,1,0
aiphey,1,0,1,0,0
aiphhey,1,0,1,0,0
aiphy,1,0,1,0,0
air,74,0,70,3,1
airal,2,0,1,1,0
airaldy,1,0,1,0,0
airam,1,0,0,1,0
airar,1,0,0,1,0
airchy,1,0,1,0,0
airod,2,0,1,1,0
airody,3,0,3,0,0
airol,1,0,1,0,0
airolm,1,0,0,0,1
airols,1,0,0,1,0
airorlchy,1,0,1,0,0
airoy,1,0,1,0,0
airy,1,0,0,1,0
ais,1,0,1,0,0
aisam,1,0,0,1,0
aithchr,1,0,1,0,0
aithy,5,0,3,2,0
aiy,1,0,1,0,0
akaiiky,1,0,1,0,0
akaiin,1,0,1,0,0
akain,1,0,1,0,0
akair,1,0,1,0,0
akal,1,0,1,0,0
akar,2,0,2,0,0
akarar,1,0,1,0,0
akchedy,1,0,1,0,0
akchy,1,0,1,0,0
akey,1,0,1,0,0
aky,1,0,1,0,0
al,261,1,223,37,0
alaiiin,2,0,2,0,0
alaiin,4,0,4,0,0
alain,4,0,3,1,0
alair,1,0,1,0,0
alairdy,1,0,1,0,0
alal,5,0,5,0,0
alaldy,1,0,0,1,0
alalor,1,0,1,0,0
alam,8,0,1,7,0
alamchy,1,0,0,1,0
alar,6,0,5,1,0
alcfhy,1,0,0,1,0
alchd,1,0,0,1,0
alchdy,2,0,1,1,0
alched,1,0,1,0,0
alchedar,1,0,1,0,0
alchedy,4,0,4,0,0
alcheey,1,1,0,0,0
alcheky,1,0,0,1,0
alches,1,0,1,0,0
alchey,4,1,3,0,0
alchky,1,0,1,0,0
alchl,1,0,1,0,0
alchol,1,0,1,0,0
alchor,2,0,2,0,0
alchy,1,0,1,0,0
ald,3,0,3,0,0
aldaiin,3,0,3,0,0
aldalosam,1,0,0,1,0
aldam,2,0,1,1,0
aldar,3,0,1,2,0
aldy,14,0,7,7,0
aldydy,1,0,1,0,0
aleedy,1,0,1,0,0
aleey,1,0,1,0,0
alekeey,1,0,1,0,0
alf,1,0,0,1,0
alfo,1,0,1,0,0
alfshed,1,0,0,1,0
alg,2,0,0,2,0
alkaiin,5,0,4,1,0
alkain,7,0,6,1,0
alkair,1,0,1,0,0
alkal,1,0,0,1,0
alkam,6,0,0,6,0
alkan,1,0,0,1,0
alkar,4,0,4,0,0
alkchdy,1,0,1,0,0
alkeain,1,0,1,0,0
alkedy,2,0,2,0,0
alkeear,1,0,1,0,0
alkeedy,4,0,2,2,0
alkeeol,1,0,1,0,0
alkeey,1,0,1,0,0
alkey,2,0,2,0,0
alkol,1,0,1,0,0
alky,3,0,0,3,0
allkeam,1,0,1,0,0
ally,1,0,1,0,0
alo,3,0,3,0,0
aloal,1,0,0,1,0
alod,2,0,0,2,0
alodam,1,0,0,1,0
alodar,1,0,1,0,0
alody,6,0,5,1,0
aloees,2,0,2,0,0
alog,1,0,0,1,0
aloiiin,1,0,1,0,0
aloiin,2,0,1,1,0
alol,9,0,7,2,0
alold,1,0,0,1,0
aloldy,1,0,1,0,0
alolfchy,1,0,1,0,0
alolor,1,0,1,0,0
alols,2,0,2,0,0
alolshedy,1,0,1,0,0
aloly,3,0,0,2,1
alom,6,0,1,5,0
alor,7,0,6,1,0
alory,1,0,0,1,0
alos,2,0,2,0,0
alosheey,1,0,1,0,0
aloy,1,0,1,0,0
alpchdar,1,0,0,1,0
alpchdy,1,0,0,1,0
als,4,0,2,2,0
alshdr,1,1,0,0,0
alshdy,1,0,1,0,0
alshedy,1,0,1,0,0
alshees,1,0,0,1,0
alshey,4,1,3,0,0
alshy,2,0,2,0,0
alsy,1,0,0,1,0
alteol,1,0,1,0,0
aly,29,0,16,13,0
alys,2,0,1,1,0
am,88,0,23,65,0
amam,1,0,0,1,0
aman,1,0,1,0,0
amchd,1,0,0,1,0
amchy,1,0,0,1,0
amd,1,0,0,1,0
amg,2,0,1,1,0
amod,1,0,0,1,0
amom,1,0,0,1,0
amy,1,0,0,1,0
an,8,0,5,3,0
aol,1,0,0,1,0
aporair,1,0,1,0,0
apy,1,0,0,1,0
ar,353,4,322,26,1
araiin,10,0,8,2,0
arain,2,0,2,0,0
arair,1,0,1,0,0
arairaly,1,0,1,0,0
arakaiin,1,1,0,0,0
aral,16,0,8,8,0
aralary,1,0,0,1,0
arald,1,0,0,1,0
aralos,1,0,0,1,0
arals,1,0,1,0,0
araly,1,0,0,1,0
aram,12,0,4,8,0
arar,7,0,4,3,0
araral,1,0,0,1,0
araram,1,0,0,1,0
ararchodaiin,1,0,0,0,1
araroy,1,0,1,0,0
arary,3,0,3,0,0
araydy,1,0,0,1,0
archeey,1,0,1,0,0
archeody,1,0,0,1,0
archeor,1,1,0,0,0
archol,1,0,0,1,0
arcsy,1,1,0,0,0
are,1,0,1,0,0
aree,1,0,1,0,0
arg,1,0,0,1,0
ariin,2,0,2,0,0
arl,3,0,3,0,0
aro,1,0,1,0,0
arod,2,0,0,2,0
arodaim,1,0,0,1,0
arodchedy,1,0,1,0,0
arodl,2,0,2,0,0
arodly,1,0,0,1,0
arody,13,0,6,7,0
aroiin,1,0,1,0,0
aroka,1,0,0,1,0
arol,12,0,8,3,1
arolkeey,1,0,1,0,0
arolky,1,0,0,1,0
arolor,1,0,1,0,0
arolsas,1,0,0,1,0
arom,1,0,0,0,1
aror,6,0,3,3,0
arorochees,1,0,0,1,0
arorsheey,1,0,1,0,0
aros,1,0,1,0,0
aroshy,1,0,0,1,0
aroteey,1,0,1,0,0
arotey,1,0,1,0,0
arsheg,1,0,0,1,0
arshey,1,0,1,0,0
arxor,1,0,1,0,0
ary,26,0,3,23,0
aryly,1,0,0,1,0
as,6,0,6,0,0
asa,1,0,0,1,0
asaly,1,0,0,1,0
ataiin,1,0,1,0,0
ataseos,1,1,0,0,0
ateey,1,0,1,0,0
atey,1,0,1,0,0
atolg,1,0,0,1,0
aty,3,0,1,2,0
axor,1,0,1,0,0
ay,1,0,1,0,0
c,8,0,7,0,1
cckheor,1,0,1,0,0
cckhhy,1,0,1,0,0
ceectheey,1,0,1,0,0
cfarasr,1,0,0,1,0
cfhaiin,1,0,0,1,0
cfham,1,0,1,0,0
cfhar,2,0,2,0,0
cfhdorol,1,0,0,1,0
cfhdy,1,0,1,0,0
cfheey,1,0,1,0,0
cfhekchdy,1,0,1,0,0
cfheo,1,0,1,0,0
cfheody,1,0,1,0,0
cfheol,2,0,2,0,0
cfheos,1,0,1,0,0
cfhey,2,0,2,0,0
cfhoaiin,1,0,1,0,0
cfhodar,1,0,1,0,0
cfhodoral,1,0,1,0,0
cfhol,6,0,6,0,0
cfhoy,1,0,1,0,0
cfhs,1,0,1,0,0
cfhy,6,0,5,1,0
cfhyaiin,1,0,1,0,0
ch,8,0,8,0,0
cha,2,0,2,0,0
chad,1,0,1,0,0
chadaiin,1,0,1,0,0
chady,1,0,1,0,0
chaiiin,1,0,0,1,0
chaiin,45,0,37,8,0
chaiind,1,0,0,1,0
chaiir,1,0,1,0,0
chaim,1,0,0,1,0
chain,18,1,16,1,0
chaindy,1,1,0,0,0
chair,1,0,1,0,0
chairal,1,0,1,0,0
chakain,1,0,1,0,0
chakeey,1,0,1,0,0
chakod,1,0,1,0,0
chal,48,0,42,6,0
chalaiin,1,0,1,0,0
chalal,1,0,0,1,0
chalaly,1,0,1,0,0
chald,1,0,0,1,0
chalg,1,0,0,1,0
chalkain,1,0,1,0,0
chalkar,2,0,2,0,0
chalkeedy,1,0,0,1,0
chalkeeedy,1,0,1,0,0
chalkeey,1,0,1,0,0
chalolky,1,0,1,0,0
chaloly,1,0,0,1,0
chalor,1,0,0,1,0
chalr,1,0,0,1,0
chals,2,0,2,0,0
chalsain,1,0,0,0,1
chaltar,1,0,1,0,0
chaly,5,0,5,0,0
cham,20,0,8,12,0
chan,11,0,9,2,0
chap,1,0,1,0,0
chapchy,1,0,1,0,0
char,72,4,64,4,0
charaiin,1,0,0,1,0
charain,3,0,2,1,0
charam,4,0,2,2,0
chariin,1,0,1,0,0
charor,1,0,0,1,0
chary,6,0,1,5,0
chas,1,0,1,0,0
chataiin,1,0,0,1,0
chcfhal,1,0,1,0,0
chcfhdy,1,0,1,0,0
chcfheor,1,0,1,0,0
chcfhey,1,0,1,0,0
chcfhhy,3,0,2,1,0
chcfhol,1,0,1,0,0
chcfhor,1,0,1,0,0
