token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
ram,line_final,14,14,0.0031854379977246873,0.0003687412753180394,8.6386803185438
sam,line_final,10,10,0.0022753128555176336,0.000263386625227171,8.638680318543798
ary,line_final,23,26,0.005233219567690558,0.0006848052255906445,7.6419095125579775
ry,line_final,11,13,0.002502844141069397,0.00034240261279532225,7.30965257722937
qokam,line_final,21,25,0.00477815699658703,0.0006584665630679274,7.256491467576792
am,line_final,65,88,0.01478953356086462,0.0023178023019991044,6.380843417106216
ldy,line_final,18,25,0.004095563139931741,0.0006584665630679274,6.219849829351536
dan,line_final,14,20,0.0031854379977246873,0.000526773250454342,6.047076222980659
oly,line_final,39,57,0.008873720136518772,0.0015013037637948744,5.910676007424706
om,line_final,15,22,0.0034129692832764505,0.0005794505754997761,5.890009308098046
dam,line_final,62,98,0.014106939704209329,0.0025811889272262752,5.465287548466486
lo,line_final,10,16,0.0022753128555176336,0.0004214186003634735,5.399175199089875
otam,line_final,29,47,0.006598407281001138,0.0012379171385677036,5.330249558250429
okam,line_final,16,26,0.0036405005688282138,0.0006848052255906445,5.316110965257723
cham,line_final,12,20,0.0027303754266211604,0.000526773250454342,5.18320819112628
sy,line_final,20,35,0.004550625711035267,0.0009218531882950984,4.936388753453599
dary,line_final,13,24,0.0029579067121729237,0.0006321279005452104,4.6792851725445574
oldy,line_final,15,28,0.0034129692832764505,0.0007374825506360788,4.62786445636275
daly,line_final,16,30,0.0036405005688282138,0.0007901598756815129,4.607296169890026
aly,line_final,13,29,0.0029579067121729237,0.0007638212131587958,3.8725118669334275
dy,line_final,108,271,0.024573378839590442,0.007137777543656333,3.4427213077591525
lol,line_final,17,44,0.0038680318543799774,0.0011589011509995522,3.337671941255559
d,line_final,17,52,0.0038680318543799774,0.001369610451181289,2.8241839502931656
ody,line_final,13,47,0.0029579067121729237,0.0012379171385677036,2.389422215767434
cthy,line_final,28,111,0.006370875995449375,0.002923591540021598,2.1791265668398774
sal,line_final,13,55,0.0029579067121729237,0.0014486264387494404,2.0418698934739887
oky,line_final,23,102,0.005233219567690558,0.0026865435773171437,1.9479377188873275
oty,line_final,25,115,0.005688282138794084,0.003028946190112466,1.8779739822921304
dal,line_final,50,253,0.011376564277588168,0.006663681618247426,1.7072490748110276
qoty,line_final,17,87,0.0038680318543799774,0.0022914636394763873,1.6880179932786736
qoky,line_final,28,147,0.006370875995449375,0.003871783390839413,1.6454629178178668
sar,line_final,16,84,0.0036405005688282138,0.002212447651908236,1.6454629178178668
shody,line_final,10,55,0.0022753128555176336,0.0014486264387494404,1.5706691488261453
daiin,line_final,134,864,0.03048919226393629,0.022756604419627572,1.3397953271815615
y,line_final,26,176,0.005915813424345847,0.004635604603998209,1.2761686834212431
dar,line_final,47,319,0.010693970420932878,0.008402033344746753,1.2727836206004972
lchedy,line_final,17,119,0.0038680318543799774,0.0031343008402033344,1.2340971883634
dain,line_final,30,211,0.006825938566552901,0.005557457792293307,1.228248386522815
al,line_final,37,261,0.008418657565415245,0.006874390918429162,1.2246405049276652
s,line_final,36,255,0.008191126279863481,0.00671635894329286,1.2195783979120658
cheody,line_final,12,89,0.0027303754266211604,0.0023441409645218216,1.164765885646355
chdy,line_final,20,152,0.004550625711035267,0.004003476703452999,1.1366684629662893
shy,line_final,13,107,0.0029579067121729237,0.0028182368899307294,1.0495592910380316
ain,line_final,11,92,0.002502844141069397,0.002423156952089973,1.0328856902606718
chody,line_final,10,94,0.0022753128555176336,0.002475834277135407,0.919008544525936
saiin,line_final,15,144,0.0034129692832764505,0.0037927674032712617,0.8998625331816459
otain,line_final,10,96,0.0022753128555176336,0.0025285116021808414,0.8998625331816457
okal,line_final,13,138,0.0029579067121729237,0.0036347354281349594,0.8137887256599231
ol,line_final,48,539,0.010921501706484642,0.014196539099744516,0.769307338200561
chckhy,line_final,11,140,0.002502844141069397,0.0036874127531803936,0.67875345359987
chedy,line_final,39,501,0.008873720136518772,0.013195669923881265,0.672472120605206
chy,line_final,12,155,0.0027303754266211604,0.00408249269102115,0.66880105691952
otal,line_final,11,143,0.002502844141069397,0.0037664287407485446,0.6645138706572155
okaiin,line_final,16,212,0.0036405005688282138,0.0055837964548160245,0.6519758730976453
ar,line_final,26,353,0.005915813424345847,0.009297547870519136,0.6362767373431694
aiin,line_final,34,470,0.007736063708759955,0.012379171385677035,0.6249258102776366
otaiin,line_final,11,154,0.002502844141069397,0.004056154028498433,0.6170485941817
okain,line_final,10,144,0.0022753128555176336,0.0037927674032712617,0.5999083554544306
qokal,line_final,11,191,0.002502844141069397,0.005030684541838966,0.49751562043969527
