token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
a,0.0001316933126135855,0.00022753128555176336,0.00010576414595452142,0.00022753128555176336,0.0
acheody,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ackaldy,2.6338662522717095e-05,0.0,0.0,0.0,0.0012315270935960591
acthedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
adairchdy,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
adal,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
adam,5.267732504543419e-05,0.0,0.0,0.0004550625711035267,0.0
adar,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
adchey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
adeeody,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ador,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ady,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aeeodeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aekeeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aes,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ag,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aicky,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiees,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aifhhy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aifhy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aii,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiichy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiicthy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiidal,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiidy,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
aiiikhedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiiiky,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiiin,0.001079885163431401,0.0,0.0013749338974087784,0.0004550625711035267,0.0
aiiinro,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiikam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiil,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiildy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiily,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiim,7.90159875681513e-05,0.0,3.5254715318173806e-05,0.0004550625711035267,0.0
aiin,0.012379171385677035,0.0,0.01537105587872378,0.007736063708759955,0.0
aiinal,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiinod,2.6338662522717095e-05,0.0,0.0,0.0,0.0012315270935960591
aiinog,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiiny,0.00010535465009086838,0.0,3.5254715318173806e-05,0.0006825938566552901,0.0
aiioly,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiip,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiir,0.0006057892380224932,0.0,0.0008108584523179975,0.0,0.0
aiiral,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiiraly,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiirchar,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiirody,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiirol,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiiry,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiis,7.90159875681513e-05,0.0,0.00010576414595452142,0.0,0.0
aiisaim,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aiisockhy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiisod,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aikhdy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aikheky,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aikhy,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
ail,0.0001316933126135855,0.0,0.00017627357659086903,0.0,0.0
aildy,7.90159875681513e-05,0.0,3.5254715318173806e-05,0.0004550625711035267,0.0
aim,0.0001843706376590197,0.0,0.00010576414595452142,0.0009101251422070534,0.0
ain,0.002423156952089973,0.0,0.0028203772254539045,0.002502844141069397,0.0012315270935960591
ainaly,2.6338662522717095e-05,0.0,0.0,0.0,0.0012315270935960591
ainam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
ainarals,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aindar,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
ainy,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
aiodam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
