token,count,share
daiin,134,0.03048919226393629
dy,108,0.024573378839590442
am,65,0.01478953356086462
dam,62,0.014106939704209329
dal,50,0.011376564277588168
ol,48,0.010921501706484642
dar,47,0.010693970420932878
oly,39,0.008873720136518772
chedy,39,0.008873720136518772
al,37,0.008418657565415245
s,36,0.008191126279863481
aiin,34,0.007736063708759955
dain,30,0.006825938566552901
otam,29,0.006598407281001138
cthy,28,0.006370875995449375
qoky,28,0.006370875995449375
ar,26,0.005915813424345847
y,26,0.005915813424345847
oty,25,0.005688282138794084
oky,23,0.005233219567690558
ary,23,0.005233219567690558
qokam,21,0.00477815699658703
chdy,20,0.004550625711035267
sy,20,0.004550625711035267
shedy,20,0.004550625711035267
or,19,0.004323094425483504
chey,19,0.004323094425483504
ldy,18,0.004095563139931741
d,17,0.0038680318543799774
qoty,17,0.0038680318543799774
