token,count,share
daiin,156,0.03549488054607509
saiin,56,0.01274175199089875
dain,47,0.010693970420932878
sol,40,0.009101251422070534
sor,37,0.008418657565415245
dar,36,0.008191126279863481
sain,35,0.007963594994311717
y,34,0.007736063708759955
sho,33,0.007508532423208191
qokeey,32,0.0072810011376564275
qokeedy,32,0.0072810011376564275
or,31,0.007053469852104664
ol,31,0.007053469852104664
dair,30,0.006825938566552901
dshedy,30,0.006825938566552901
qokaiin,28,0.006370875995449375
sar,28,0.006370875995449375
tol,28,0.006370875995449375
qokain,24,0.005460750853242321
dor,23,0.005233219567690558
tchedy,23,0.005233219567690558
ycheey,21,0.00477815699658703
pol,20,0.004550625711035267
qokedy,20,0.004550625711035267
shor,19,0.004323094425483504
chol,19,0.004323094425483504
qotchy,19,0.004323094425483504
shol,17,0.0038680318543799774
okeey,17,0.0038680318543799774
dol,16,0.0036405005688282138
