token,count,share
daiin,574,0.020236206592631766
ol,460,0.01621716904635995
chedy,456,0.016076150185087255
aiin,436,0.01537105587872378
shedy,400,0.014101886127269522
chol,371,0.013079499383042483
ar,322,0.011352018332451965
chey,320,0.011281508901815618
or,316,0.011140490040542923
qokeedy,268,0.00944826370527058
qokeey,265,0.00934249955931606
shey,264,0.009307244843997885
qokain,245,0.008637405252952583
qokedy,243,0.008566895822316236
dar,236,0.008320112815089018
al,223,0.00786180151595276
qokaiin,221,0.007791292085316411
s,203,0.0071567072095892826
chor,201,0.007086197778952935
dal,193,0.0068041600564075445
okaiin,178,0.006275339326634937
shol,166,0.005852282742816852
cheey,166,0.005852282742816852
qokal,164,0.005781773312180504
cheol,161,0.005676009166225983
dy,161,0.005676009166225983
okeey,152,0.0053587167283624185
chy,141,0.004970914859862507
qokar,141,0.004970914859862507
otedy,141,0.004970914859862507
