section_a,section_b,jensen_shannon_divergence_bits
astronomical,biological,0.7132735389659056
astronomical,cosmological,0.6225355171064655
astronomical,herbal,0.6088666535195559
astronomical,pharmaceutical,0.5962263607338256
astronomical,stars,0.6690405386257614
astronomical,text,0.6507669577149167
astronomical,zodiac,0.6627228329797061
biological,cosmological,0.5061078146284147
biological,herbal,0.4985178537863961
biological,pharmaceutical,0.5958551512680121
biological,stars,0.3347291601069759
biological,text,0.5113033374073725
biological,zodiac,0.6898941491112591
cosmological,herbal,0.4421483043194374
cosmological,pharmaceutical,0.5613311195084363
cosmological,stars,0.44201233814307345
cosmological,text,0.46739630245416325
cosmological,zodiac,0.5691746571897496
herbal,pharmaceutical,0.44591760119837986
herbal,stars,0.4462304641923659
herbal,text,0.46185079406885043
herbal,zodiac,0.6201059151002524
pharmaceutical,stars,0.5451207646113809
pharmaceutical,text,0.5538883366031113
pharmaceutical,zodiac,0.633676323360163
stars,text,0.47953324768089006
stars,zodiac,0.6102496055949201
text,zodiac,0.6146855682868653
