section,token,section_count,overall_count
astronomical,a,1,5
astronomical,adairchdy,1,1
astronomical,aiin,11,470
astronomical,aiiny,1,4
astronomical,aiir,1,23
astronomical,ain,1,92
astronomical,ainy,1,2
astronomical,air,2,74
astronomical,ais,1,1
astronomical,al,3,261
astronomical,alamchy,1,1
astronomical,alchey,1,4
astronomical,aldaiin,1,3
astronomical,aldy,2,14
astronomical,aloiin,1,2
astronomical,aly,1,29
astronomical,am,3,88
astronomical,amy,1,1
astronomical,ar,7,353
astronomical,aral,1,16
astronomical,araly,1,1
astronomical,aram,2,12
astronomical,archeor,1,1
astronomical,aroka,1,1
astronomical,arolsas,1,1
astronomical,ary,2,26
astronomical,asa,1,1
astronomical,cckheor,1,1
astronomical,ceectheey,1,1
astronomical,ch,2,8
astronomical,chcphy,1,11
astronomical,chcs,1,1
astronomical,chdar,1,20
astronomical,chdchol,1,1
astronomical,chdy,1,152
astronomical,che,1,2
astronomical,chear,1,51
astronomical,chedady,1,1
astronomical,chedaiin,1,32
astronomical,chedaly,1,3
astronomical,chedar,1,30
astronomical,chedy,1,501
astronomical,cheekchey,1,1
astronomical,cheeky,1,24
astronomical,cheeteey,1,4
astronomical,cheey,4,174
astronomical,chekchy,1,5
astronomical,chekeey,1,6
astronomical,chekeys,1,1
astronomical,chekody,2,3
astronomical,cheky,1,65
astronomical,cheo,5,65
astronomical,cheoal,1,2
astronomical,cheockhedchy,1,1
astronomical,cheockhey,1,2
astronomical,cheockhy,1,10
astronomical,cheodaiin,1,11
astronomical,cheodaiir,1,1
astronomical,cheody,4,89
astronomical,cheoekeey,1,1
astronomical,cheokorchey,1,1
astronomical,cheol,2,173
astronomical,cheor,4,100
astronomical,cheorol,1,2
astronomical,cheos,2,33
astronomical,cheoteeo,1,1
astronomical,chesokeeoteody,1,1
astronomical,chesy,1,3
astronomical,chetal,1,1
astronomical,cheteedy,1,1
astronomical,cheteey,1,3
astronomical,chetegy,1,1
astronomical,chetey,1,5
astronomical,chety,1,25
astronomical,chey,2,344
astronomical,chkchdar,1,1
astronomical,chkchykoly,1,1
astronomical,chkeody,1,1
astronomical,chkey,1,8
astronomical,chkorchy,1,1
astronomical,chky,1,18
astronomical,cho,3,69
astronomical,chocfhy,1,1
astronomical,chockhdy,1,2
astronomical,chockhy,1,21
astronomical,chocphy,1,3
astronomical,choctheeey,1,1
astronomical,chod,1,9
astronomical,chodal,1,7
astronomical,chodalg,1,2
astronomical,chodar,1,14
astronomical,chodchy,1,4
astronomical,chody,1,94
astronomical,choeey,1,2
astronomical,choikhedy,1,1
astronomical,choikhy,1,2
astronomical,chok,1,5
astronomical,chokal,1,9
astronomical,chokchy,1,16
astronomical,chokeear,1,1
astronomical,chokeed,1,1
astronomical,chokeeey,1,2
astronomical,chokeey,1,11
astronomical,chokeody,1,5
astronomical,chokol,1,4
astronomical,choky,1,39
astronomical,chol,6,396
astronomical,cholar,1,2
astronomical,chor,2,219
astronomical,chos,3,38
astronomical,chotedy,1,2
astronomical,choteedy,1,1
astronomical,choteey,2,7
astronomical,choteoky,1,1
astronomical,chotey,1,9
astronomical,chparam,1,1
astronomical,chpiir,1,1
astronomical,chpor,1,2
astronomical,chso,1,2
astronomical,chteey,2,3
astronomical,chteokeeiin,1,1
astronomical,chy,4,155
