section,token,section_count,overall_count,section_share,overall_share,overrepresentation_ratio
astronomical,dar,10,319,0.011764705882352941,0.008402033344746753,1.4002212797344644
astronomical,aiin,11,470,0.012941176470588235,0.012379171385677035,1.0453992490613266
astronomical,daiin,12,864,0.01411764705882353,0.022756604419627572,0.620375816993464
biological,qolchedy,10,10,0.0014455044810638912,0.000263386625227171,5.488146863255276
biological,qolchey,10,11,0.0014455044810638912,0.00028972528774988805,4.98922442114116
biological,qol,116,151,0.01676785198034114,0.003977138040930282,4.2160598419709405
biological,olkain,25,33,0.003613761202659728,0.0008691758632496642,4.157687017617633
biological,olkedy,20,27,0.0028910089621277824,0.0007111438881133616,4.065293972781686
biological,shecthy,14,20,0.002023706273489448,0.000526773250454342,3.841702804278693
biological,olchedy,25,38,0.003613761202659728,0.0010008691758632497,3.610622936352155
biological,rol,13,20,0.0018791558253830587,0.000526773250454342,3.5672954611159295
biological,olky,14,22,0.002023706273489448,0.0005794505754997761,3.4924570947988123
biological,sheckhy,22,35,0.003180109858340561,0.0009218531882950984,3.4496923140461733
biological,dshedy,22,36,0.003180109858340561,0.0009481918508178154,3.353867527544891
biological,olshedy,14,23,0.002023706273489448,0.0006057892380224932,3.3406111341553855
biological,checthy,17,28,0.0024573576178086153,0.0007374825506360788,3.3320891669764174
biological,qokedy,164,272,0.02370627348944782,0.00716411620617905,3.3090297263745048
biological,ral,10,17,0.0014455044810638912,0.00044775726288619064,3.2283216842678093
biological,shedy,247,427,0.035703960682278116,0.0112466088972002,3.174642330735488
biological,lshedy,24,42,0.003469210754553339,0.001106223825954118,3.1360839218601577
biological,qokain,159,279,0.02298352124891587,0.00734848684383807,3.1276535887368775
biological,qokal,107,191,0.015466897947383637,0.005030684541838966,3.0745115935513847
biological,olchey,16,29,0.0023128071697022263,0.0007638212131587958,3.0279430969684284
biological,olor,17,31,0.0024573576178086153,0.00081649853820423,3.009628925010958
biological,sol,41,75,0.005926568372361955,0.0019753996892037822,3.0001869519128843
biological,qotedy,48,91,0.006938421509106678,0.002396818289567256,2.8948466971016837
biological,qoteedy,39,74,0.005637467476149176,0.001949061026681065,2.892401725229132
biological,oly,30,57,0.004336513443191674,0.0015013037637948744,2.888498349081724
biological,lol,23,44,0.00332466030644695,0.0011589011509995522,2.868804042156167
biological,sheedy,43,84,0.006215669268574733,0.002212447651908236,2.809408513333058
biological,qokeedy,153,305,0.022116218560277536,0.008033292069428714,2.7530703936985486
biological,tedy,21,42,0.003035559410234172,0.001106223825954118,2.7440734316276383
biological,pol,12,24,0.0017346053772766695,0.0006321279005452104,2.744073431627638
biological,tal,10,20,0.0014455044810638912,0.000526773250454342,2.744073431627638
biological,lchedy,59,119,0.008528476438276958,0.0031343008402033344,2.721013991025725
biological,lchey,22,45,0.003180109858340561,0.0011852398135222693,2.6830940220359127
biological,shckhy,29,60,0.004191962995085285,0.0015803197513630258,2.65260431724005
biological,olkeey,18,40,0.0026019080659150044,0.001053546500908684,2.4696660884648742
biological,sheky,16,36,0.0023128071697022263,0.0009481918508178154,2.439176383669012
biological,pchedy,15,34,0.002168256721595837,0.0008955145257723813,2.421241263200857
biological,ol,233,539,0.03368025440878867,0.014196539099744516,2.3724271227058984
biological,kedy,19,44,0.0027464585140213934,0.0011589011509995522,2.369881600042051
