section,rank,token,count,share
astronomical,1,daiin,12,0.01411764705882353
astronomical,2,aiin,11,0.012941176470588235
astronomical,3,dar,10,0.011764705882352941
astronomical,4,oteey,8,0.009411764705882352
astronomical,5,shey,7,0.00823529411764706
astronomical,6,daiir,7,0.00823529411764706
astronomical,7,s,7,0.00823529411764706
astronomical,8,dair,7,0.00823529411764706
astronomical,9,ar,7,0.00823529411764706
astronomical,10,dy,7,0.00823529411764706
astronomical,11,sar,6,0.007058823529411765
astronomical,12,dal,6,0.007058823529411765
astronomical,13,chol,6,0.007058823529411765
astronomical,14,okeey,6,0.007058823529411765
astronomical,15,or,6,0.007058823529411765
astronomical,16,cheo,5,0.0058823529411764705
astronomical,17,o,4,0.004705882352941176
astronomical,18,cheey,4,0.004705882352941176
astronomical,19,ol,4,0.004705882352941176
astronomical,20,chy,4,0.004705882352941176
astronomical,21,cheor,4,0.004705882352941176
astronomical,22,dain,4,0.004705882352941176
astronomical,23,okol,4,0.004705882352941176
astronomical,24,okey,4,0.004705882352941176
astronomical,25,qokeey,4,0.004705882352941176
astronomical,26,cheody,4,0.004705882352941176
astronomical,27,shes,4,0.004705882352941176
astronomical,28,okeody,3,0.0035294117647058825
astronomical,29,oteodaiin,3,0.0035294117647058825
astronomical,30,otor,3,0.0035294117647058825
biological,1,shedy,247,0.035703960682278116
biological,2,ol,233,0.03368025440878867
biological,3,chedy,210,0.030355594102341718
biological,4,qokedy,164,0.02370627348944782
biological,5,qokain,159,0.02298352124891587
biological,6,qokeedy,153,0.022116218560277536
biological,7,qol,116,0.01676785198034114
biological,8,qokal,107,0.015466897947383637
biological,9,shey,99,0.014310494362532523
biological,10,chey,94,0.013587742122000578
biological,11,qokeey,89,0.012864989881468633
biological,12,qokaiin,88,0.012720439433362244
biological,13,daiin,84,0.012142237640936688
biological,14,dar,69,0.00997398091934085
biological,15,dal,68,0.009829430471234461
biological,16,or,65,0.009395779126915294
biological,17,qoky,61,0.008817577334489736
biological,18,lchedy,59,0.008528476438276958
biological,19,otedy,54,0.007805724197745013
biological,20,dy,52,0.007516623301532235
biological,21,qokar,49,0.007082971957213067
biological,22,qotedy,48,0.006938421509106678
biological,23,dain,47,0.006793871061000289
biological,24,okedy,46,0.0066493206128939
biological,25,okain,46,0.0066493206128939
biological,26,sheedy,43,0.006215669268574733
biological,27,qokey,43,0.006215669268574733
biological,28,chckhy,41,0.005926568372361955
biological,29,saiin,41,0.005926568372361955
biological,30,sol,41,0.005926568372361955
cosmological,1,ar,59,0.023137254901960783
cosmological,2,aiin,51,0.02
cosmological,3,or,46,0.01803921568627451
cosmological,4,dar,37,0.014509803921568627
cosmological,5,ol,36,0.01411764705882353
cosmological,6,daiin,33,0.012941176470588235
cosmological,7,dal,29,0.011372549019607842
cosmological,8,al,27,0.010588235294117647
cosmological,9,dy,23,0.009019607843137255
cosmological,10,chedy,20,0.00784313725490196
cosmological,11,qokar,19,0.007450980392156863
cosmological,12,chey,19,0.007450980392156863
cosmological,13,s,17,0.006666666666666667
cosmological,14,r,17,0.006666666666666667
cosmological,15,chol,17,0.006666666666666667
cosmological,16,otar,17,0.006666666666666667
cosmological,17,qokaiin,17,0.006666666666666667
cosmological,18,y,16,0.006274509803921568
cosmological,19,ytaiin,16,0.006274509803921568
cosmological,20,o,15,0.0058823529411764705
cosmological,21,qokal,15,0.0058823529411764705
cosmological,22,chdy,15,0.0058823529411764705
cosmological,23,shedy,15,0.0058823529411764705
cosmological,24,ykaiin,15,0.0058823529411764705
cosmological,25,am,14,0.005490196078431373
cosmological,26,otal,14,0.005490196078431373
cosmological,27,l,13,0.005098039215686275
cosmological,28,d,13,0.005098039215686275
cosmological,29,otaiin,13,0.005098039215686275
cosmological,30,dair,13,0.005098039215686275
herbal,1,daiin,474,0.04151339989490278
herbal,2,chol,234,0.020493956910141883
herbal,3,s,166,0.014538448064459626
herbal,4,chor,160,0.014012961989840603
herbal,5,dy,141,0.01234892275354703
herbal,6,or,129,0.011297950604308986
herbal,7,dar,115,0.010071816430197934
herbal,8,shol,112,0.009809073392888421
herbal,9,aiin,108,0.009458749343142408
herbal,10,chy,105,0.009196006305832895
herbal,11,cthy,98,0.008582939218777369
herbal,12,sho,96,0.008407777193904361
herbal,13,ol,93,0.00814503415659485
herbal,14,y,87,0.0076195480819758275
herbal,15,dain,85,0.00744438605710282
herbal,16,chey,73,0.006393413907864775
herbal,17,shy,71,0.0062182518829917675
herbal,18,ar,70,0.006130670870555264
herbal,19,shor,67,0.005867927833245752
herbal,20,chedy,67,0.005867927833245752
herbal,21,dal,65,0.005692765808372744
herbal,22,chdy,61,0.00534244175862673
herbal,23,okaiin,60,0.005254860746190226
herbal,24,oky,54,0.004729374671571204
herbal,25,qotchy,52,0.004554212646698196
herbal,26,chckhy,51,0.004466631634261692
herbal,27,oty,51,0.004466631634261692
herbal,28,dam,49,0.0042914696093886845
herbal,29,cthol,49,0.0042914696093886845
herbal,30,chody,48,0.004203888596952181
pharmaceutical,1,daiin,100,0.038774718883288095
pharmaceutical,2,chol,44,0.017060876308646764
pharmaceutical,3,cheol,40,0.015509887553315239
pharmaceutical,4,ol,40,0.015509887553315239
pharmaceutical,5,or,36,0.013958898797983715
pharmaceutical,6,okeol,31,0.01202016285381931
pharmaceutical,7,aiin,30,0.011632415664986429
pharmaceutical,8,dal,27,0.010469174098487785
pharmaceutical,9,s,26,0.010081426909654904
pharmaceutical,10,qokeol,25,0.009693679720822024
pharmaceutical,11,cheor,24,0.009305932531989143
pharmaceutical,12,okeey,24,0.009305932531989143
pharmaceutical,13,chor,23,0.008918185343156262
pharmaceutical,14,okol,22,0.008530438154323382
pharmaceutical,15,dar,21,0.0081426909654905
pharmaceutical,16,qokeey,21,0.0081426909654905
pharmaceutical,17,qokol,21,0.0081426909654905
pharmaceutical,18,chey,21,0.0081426909654905
pharmaceutical,19,sheol,20,0.0077549437766576195
pharmaceutical,20,dol,20,0.0077549437766576195
pharmaceutical,21,shey,19,0.007367196587824738
pharmaceutical,22,cheody,18,0.006979449398991857
pharmaceutical,23,cheey,17,0.006591702210158977
pharmaceutical,24,dy,17,0.006591702210158977
pharmaceutical,25,sheey,15,0.0058162078324932144
pharmaceutical,26,qokeody,14,0.005428460643660334
pharmaceutical,27,dor,14,0.005428460643660334
pharmaceutical,28,ckhey,13,0.005040713454827452
pharmaceutical,29,dain,13,0.005040713454827452
pharmaceutical,30,sheor,12,0.0046529662659945716
stars,1,aiin,193,0.018047503272863287
stars,2,chedy,190,0.017766972133906864
stars,3,qokeey,159,0.014868150364690481
stars,4,ar,142,0.013278473910604077
stars,5,al,138,0.012904432391995511
stars,6,qokeedy,137,0.01281092201234337
stars,7,chey,123,0.011501776697213391
stars,8,daiin,122,0.01140826631756125
stars,9,shedy,114,0.010660183280344118
stars,10,qokaiin,114,0.010660183280344118
stars,11,ol,111,0.010379652141387695
stars,12,qokain,105,0.009818589863474846
stars,13,okeey,96,0.008976996446605573
stars,14,okaiin,94,0.00878997568730129
stars,15,shey,84,0.007854871890779876
stars,16,cheey,77,0.007200299233214887
stars,17,okain,74,0.006919768094258463
stars,18,otaiin,74,0.006919768094258463
stars,19,or,66,0.006171685057041331
