section_a,section_b,observed_exp003_jsd_bits,common_size_mean_jsd_bits,common_size_delta_vs_observed_bits,pairwise_matched_mean_jsd_bits,pairwise_matched_delta_vs_observed_bits,common_sample_size,pairwise_sample_size
astronomical,biological,0.7132735389659056,0.7512128927329023,0.03793935376699664,0.7512494759958205,0.037975937029914864,850,850
astronomical,cosmological,0.6225355171064655,0.6637691790618065,0.04123366195534106,0.6645570243841789,0.042021507277713366,850,850
astronomical,herbal,0.6088666535195559,0.672060375628449,0.06319372210889307,0.6712538558821379,0.062387202362581995,850,850
astronomical,pharmaceutical,0.5962263607338256,0.6351494028645018,0.03892304213067621,0.63529620256763,0.03906984183380435,850,850
astronomical,stars,0.6690405386257614,0.725113821361959,0.056073282736197605,0.7246976427904952,0.055657104164733795,850,850
astronomical,text,0.6507669577149167,0.6787709402403562,0.028003982525439564,0.679008833330171,0.028241875615254375,850,850
astronomical,zodiac,0.6627228329797061,0.680827440288999,0.018104607309292864,0.6802926400462328,0.017569807066526666,850,850
biological,cosmological,0.5061078146284147,0.6150529468435264,0.1089451322151117,0.5305954305086255,0.024487615880210756,850,2550
biological,herbal,0.4985178537863961,0.647817579626785,0.14929972584038886,0.5089628985340325,0.010445044747636412,850,6918
biological,pharmaceutical,0.5958551512680121,0.6825094751983235,0.08665432393031136,0.6160708735224085,0.020215722254396384,850,2579
biological,stars,0.3347291601069759,0.5133877274319135,0.17865856732493762,0.3453271743396462,0.010598014232670316,850,6918
biological,text,0.5113033374073725,0.606053449199704,0.0947501117923315,0.5492113478581161,0.037908010450743546,850,1626
biological,zodiac,0.6898941491112591,0.7446427354497978,0.05474858633853863,0.7186016070571358,0.028707457945876702,850,1332
cosmological,herbal,0.4421483043194374,0.5960642991912963,0.15391599487185892,0.4863205830373728,0.04417227871793539,850,2550
cosmological,pharmaceutical,0.5613311195084363,0.6488501988352975,0.0875190793268612,0.5617662076758468,0.0004350881674105578,850,2550
cosmological,stars,0.44201233814307345,0.5906376203487947,0.1486252822057213,0.482534776139239,0.04052243799616556,850,2550
cosmological,text,0.46739630245416325,0.5629996335649917,0.09560333111082847,0.48879182738709825,0.021395524932935006,850,1626
cosmological,zodiac,0.5691746571897496,0.6350069541468991,0.06583229695714954,0.5939715285017919,0.024796871312042335,850,1332
herbal,pharmaceutical,0.44591760119837986,0.5916353172111218,0.14571771601274197,0.4880745687583334,0.04215696755995352,850,2579
herbal,stars,0.4462304641923659,0.6501049318500001,0.20387446765763417,0.4480812950059133,0.0018508308135474216,850,10694
herbal,text,0.46185079406885043,0.5906092152071051,0.12875842113825464,0.5208718192259094,0.05902102515705898,850,1626
herbal,zodiac,0.6201059151002524,0.7032732975244497,0.0831673824241973,0.6677001394863471,0.04759422438609473,850,1332
pharmaceutical,stars,0.5451207646113809,0.6698749662067693,0.12475420159538841,0.5810201040943819,0.03589933948300095,850,2579
pharmaceutical,text,0.5538883366031113,0.6318733094569725,0.07798497285386119,0.5716653407698103,0.01777700416669903,850,1626
pharmaceutical,zodiac,0.633676323360163,0.6910755731862614,0.05739924982609845,0.6550904551495218,0.021414131789358803,850,1332
stars,text,0.47953324768089006,0.6069296525150496,0.12739640483415954,0.5363734620207782,0.05684021433988812,850,1626
stars,zodiac,0.6102496055949201,0.6908359097692789,0.08058630417435875,0.6556688696510574,0.045419264056137276,850,1332
text,zodiac,0.6146855682868653,0.6666041565900942,0.05191858830322893,0.6235050719700023,0.008819503683136998,850,1332
