section_a,section_b,token_count_a,token_count_b,pairwise_sample_size,observed_exp003_jsd_bits,jsd_mean_bits,jsd_std_bits,jsd_median_bits,jsd_q025_bits,jsd_q975_bits,difference_vs_observed_bits
astronomical,biological,850,6918,850,0.7132735389659056,0.7512494759958205,0.009347434676899182,0.7506471197865321,0.7326828282704569,0.7695621387890333,0.037975937029914864
astronomical,cosmological,850,2550,850,0.6225355171064655,0.6645570243841789,0.009572649057140939,0.6646945288996553,0.6461315823174731,0.6827969030172285,0.042021507277713366
astronomical,herbal,850,11418,850,0.6088666535195559,0.6712538558821379,0.010684895401485803,0.671325402255952,0.6484936948876295,0.6918743024824662,0.062387202362581995
astronomical,pharmaceutical,850,2579,850,0.5962263607338256,0.63529620256763,0.009180202075437903,0.6353182817492853,0.6169977408487455,0.6525830336072478,0.03906984183380435
astronomical,stars,850,10694,850,0.6690405386257614,0.7246976427904952,0.011015988666895352,0.7248797633907282,0.703766463094411,0.7456419319156975,0.055657104164733795
astronomical,text,850,1626,850,0.6507669577149167,0.679008833330171,0.008174730877219094,0.6789329091029697,0.6633865992437556,0.6954703129356881,0.028241875615254375
astronomical,zodiac,850,1332,850,0.6627228329797061,0.6802926400462328,0.0070562898752951405,0.6801947694525396,0.6677055767018492,0.6946001687399252,0.017569807066526666
biological,cosmological,6918,2550,2550,0.5061078146284147,0.5305954305086255,0.005680025274377188,0.5304263825414871,0.519328210300907,0.5424848734535729,0.024487615880210756
biological,herbal,6918,11418,6918,0.4985178537863961,0.5089628985340325,0.003069324606804687,0.5090179392259524,0.5028498429572382,0.5151203188289106,0.010445044747636412
biological,pharmaceutical,6918,2579,2579,0.5958551512680121,0.6160708735224085,0.005454907958232029,0.616025373328412,0.6058110859848763,0.6262969186381558,0.020215722254396384
biological,stars,6918,10694,6918,0.3347291601069759,0.3453271743396462,0.0026676783676279855,0.34533402646817385,0.33998794375116215,0.3504269316785692,0.010598014232670316
biological,text,6918,1626,1626,0.5113033374073725,0.5492113478581161,0.007270135784642211,0.5490237988090202,0.5351643674923707,0.5638551678482847,0.037908010450743546
biological,zodiac,6918,1332,1332,0.6898941491112591,0.7186016070571358,0.008193558710048652,0.7183091054769917,0.7038199094445012,0.7356283616038768,0.028707457945876702
cosmological,herbal,2550,11418,2550,0.4421483043194374,0.4863205830373728,0.006383958661229979,0.48624874132929696,0.47352543311070877,0.49856147264166445,0.04417227871793539
cosmological,pharmaceutical,2550,2579,2550,0.5613311195084363,0.5617662076758468,0.0007829952599056818,0.5617122898077467,0.5603874694886389,0.5634705485146312,0.0004350881674105578
cosmological,stars,2550,10694,2550,0.44201233814307345,0.482534776139239,0.006334926722559065,0.4822561355635827,0.4702922267864229,0.4953452572572368,0.04052243799616556
cosmological,text,2550,1626,1626,0.46739630245416325,0.48879182738709825,0.005129290767957964,0.4887287756720012,0.4784621988987117,0.4987949613927352,0.021395524932935006
cosmological,zodiac,2550,1332,1332,0.5691746571897496,0.5939715285017919,0.0070253001694559605,0.5936818608703338,0.5809126291964343,0.6080418371277423,0.024796871312042335
herbal,pharmaceutical,11418,2579,2579,0.44591760119837986,0.4880745687583334,0.006239572612110976,0.48844251129251093,0.4750362949527968,0.4998446055970079,0.04215696755995352
herbal,stars,11418,10694,10694,0.4462304641923659,0.4480812950059133,0.0010028651369491431,0.4480885195491897,0.44616678231792195,0.45011189862246853,0.0018508308135474216
herbal,text,11418,1626,1626,0.46185079406885043,0.5208718192259094,0.007896296022645275,0.5209622347897324,0.5051318272781302,0.5362448582486475,0.05902102515705898
herbal,zodiac,11418,1332,1332,0.6201059151002524,0.6677001394863471,0.00916946044672293,0.6677209215778972,0.6512605583823088,0.686604968407159,0.04759422438609473
pharmaceutical,stars,2579,10694,2579,0.5451207646113809,0.5810201040943819,0.006767349200057951,0.5807849414266517,0.5686537622426318,0.5949143704003943,0.03589933948300095
pharmaceutical,text,2579,1626,1626,0.5538883366031113,0.5716653407698103,0.005220491998956334,0.5718391349053032,0.5615339049300059,0.5818506749104406,0.01777700416669903
pharmaceutical,zodiac,2579,1332,1332,0.633676323360163,0.6550904551495218,0.0065509342341753905,0.6548305766974127,0.6423761252317933,0.6681860642950771,0.021414131789358803
stars,text,10694,1626,1626,0.47953324768089006,0.5363734620207782,0.008161950296749248,0.5361998600551188,0.5201333859083884,0.5532658459910407,0.05684021433988812
stars,zodiac,10694,1332,1332,0.6102496055949201,0.6556688696510574,0.00872208685953224,0.6559763833302676,0.6374972943934374,0.6720624579823749,0.045419264056137276
text,zodiac,1626,1332,1332,0.6146855682868653,0.6235050719700023,0.004331429471188544,0.6233240806676783,0.6154470331121421,0.6321907130903329,0.008819503683136998
