section_a,section_b,observed_jsd_bits,null_jsd_mean_bits,observed_minus_null_mean_bits,null_jsd_q025_bits,null_jsd_q975_bits,empirical_percentile,empirical_p_value,null_conclusion_label
astronomical,biological,0.7132735389659056,0.3282154603135074,0.3850580786523982,0.3129250858124988,0.3442137381861082,1.0,0.000999000999000999,above_null_97_5
astronomical,cosmological,0.6225355171064655,0.49123169533563815,0.13130382177082733,0.4745241327191307,0.5079852305741427,1.0,0.000999000999000999,above_null_97_5
astronomical,herbal,0.6088666535195559,0.4284880161896675,0.18037863732988846,0.4119173529054408,0.44523300346617517,1.0,0.000999000999000999,above_null_97_5
astronomical,pharmaceutical,0.5962263607338256,0.4816244087500911,0.11460195198373452,0.46520717342964474,0.4985242012838521,1.0,0.000999000999000999,above_null_97_5
astronomical,stars,0.6690405386257614,0.42222743126146967,0.24681310736429174,0.4055792152155501,0.43899866517618374,1.0,0.000999000999000999,above_null_97_5
astronomical,text,0.6507669577149167,0.5621912515145907,0.08857570620032595,0.5444338067235174,0.580924806455225,1.0,0.000999000999000999,above_null_97_5
astronomical,zodiac,0.6627228329797061,0.5922238890088697,0.07049894397083645,0.5764777775946213,0.6105555548386195,1.0,0.000999000999000999,above_null_97_5
biological,cosmological,0.5061078146284147,0.2565951695691515,0.24951264505926318,0.2487385821854703,0.2644983684436205,1.0,0.000999000999000999,above_null_97_5
biological,herbal,0.4985178537863961,0.22963964805991305,0.2688782057264831,0.2249629535180809,0.2342309560348055,1.0,0.000999000999000999,above_null_97_5
biological,pharmaceutical,0.5958551512680121,0.2607174688703783,0.33513768239763386,0.2524857275828517,0.26862428798535637,1.0,0.000999000999000999,above_null_97_5
biological,stars,0.3347291601069759,0.21769569417044324,0.11703346593653266,0.2130023111455908,0.22234728512297827,1.0,0.000999000999000999,above_null_97_5
biological,text,0.5113033374073725,0.280861821976312,0.23044151543106056,0.2712176119589014,0.2910918985012383,1.0,0.000999000999000999,above_null_97_5
biological,zodiac,0.6898941491112591,0.30255955964933834,0.3873345894619208,0.2907673904769298,0.314764641827657,1.0,0.000999000999000999,above_null_97_5
cosmological,herbal,0.4421483043194374,0.31919852193777554,0.12294978238166188,0.3106842486940393,0.3286404687926948,1.0,0.000999000999000999,above_null_97_5
cosmological,pharmaceutical,0.5613311195084363,0.38305144544435915,0.17827967406407713,0.3737510346914869,0.39312428385538056,1.0,0.000999000999000999,above_null_97_5
cosmological,stars,0.44201233814307345,0.31362671015487753,0.12838562798819592,0.3055055417698844,0.32258951011710185,1.0,0.000999000999000999,above_null_97_5
cosmological,text,0.46739630245416325,0.4176911369450756,0.049705165509087657,0.40598554104504236,0.42943875031054035,1.0,0.000999000999000999,above_null_97_5
cosmological,zodiac,0.5691746571897496,0.4492616836769361,0.11991297351281349,0.4365055259911142,0.46267627907593173,1.0,0.000999000999000999,above_null_97_5
herbal,pharmaceutical,0.44591760119837986,0.3178428984731204,0.12807470272525945,0.3098057955285791,0.32624833143042586,1.0,0.000999000999000999,above_null_97_5
herbal,stars,0.4462304641923659,0.23893037775790366,0.20730008643446224,0.23457486683608664,0.24317928673317699,1.0,0.000999000999000999,above_null_97_5
herbal,text,0.46185079406885043,0.36075177866679015,0.10109901540206029,0.3494258490749148,0.3730608669840852,1.0,0.000999000999000999,above_null_97_5
herbal,zodiac,0.6201059151002524,0.38654170107765995,0.23356421402259242,0.37367605161020817,0.3990037606233491,1.0,0.000999000999000999,above_null_97_5
pharmaceutical,stars,0.5451207646113809,0.3164186648832146,0.22870209972816635,0.308411017327813,0.32468966047029507,1.0,0.000999000999000999,above_null_97_5
pharmaceutical,text,0.5538883366031113,0.42374292491964183,0.1301454116834695,0.4128706144237465,0.4363680259748105,1.0,0.000999000999000999,above_null_97_5
pharmaceutical,zodiac,0.633676323360163,0.4484137480550653,0.1852625753050977,0.43538018964824743,0.4613057368078101,1.0,0.000999000999000999,above_null_97_5
stars,text,0.47953324768089006,0.3529068005936105,0.12662644708727955,0.3421342870898905,0.3644643145050666,1.0,0.000999000999000999,above_null_97_5
stars,zodiac,0.6102496055949201,0.3793986372961857,0.23085096829873442,0.3672689419009369,0.39295753185655874,1.0,0.000999000999000999,above_null_97_5
text,zodiac,0.6146855682868653,0.5088249393407724,0.10586062894609283,0.4958156849439455,0.5224323608125266,1.0,0.000999000999000999,above_null_97_5
