section_a,section_b,token_count_a,token_count_b,pairwise_sample_size,observed_full_jsd_bits,exp004_pairwise_matched_mean_jsd_bits,matched_null_jsd_mean_bits,matched_null_jsd_std_bits,matched_null_jsd_median_bits,matched_null_jsd_q025_bits,matched_null_jsd_q975_bits,observed_reference_minus_null_mean_bits,matched_empirical_percentile,matched_empirical_p_value,matched_null_conclusion_label
astronomical,biological,850,6918,850,0.7132735389659056,0.7512494759958205,0.3922085964760815,0.013157032461619285,0.39185394721918165,0.3665869710399332,0.4186463803027656,0.359040879519739,1.0,0.000999000999000999,above_null_97_5
astronomical,cosmological,850,2550,850,0.6225355171064655,0.6645570243841789,0.5446540006325049,0.013077030636643073,0.54454688580275,0.5205213195290436,0.5713673891976349,0.11990302375167394,1.0,0.000999000999000999,above_null_97_5
astronomical,herbal,850,11418,850,0.6088666535195559,0.6712538558821379,0.5100522507914107,0.014166630884497563,0.5100107005042047,0.48225298524301885,0.537613282589268,0.16120160509072723,1.0,0.000999000999000999,above_null_97_5
astronomical,pharmaceutical,850,2579,850,0.5962263607338256,0.63529620256763,0.5309781407871229,0.012184852443899928,0.530867671998597,0.5049529499582004,0.5542025048120118,0.10431806178050707,1.0,0.000999000999000999,above_null_97_5
astronomical,stars,850,10694,850,0.6690405386257614,0.7246976427904952,0.5038420182834265,0.013583466516915652,0.5038896889543167,0.4776340292276859,0.5292741018044306,0.22085562450706875,1.0,0.000999000999000999,above_null_97_5
astronomical,text,850,1626,850,0.6507669577149167,0.679008833330171,0.5996269121714012,0.01166701395866863,0.5991731105098588,0.5772778829023739,0.6230624953229769,0.07938192115876985,1.0,0.000999000999000999,above_null_97_5
astronomical,zodiac,850,1332,850,0.6627228329797061,0.6802926400462328,0.615568407204381,0.010693406431243687,0.6153595971707281,0.594098577279163,0.6371925653745778,0.0647242328418518,1.0,0.000999000999000999,above_null_97_5
biological,cosmological,6918,2550,2550,0.5061078146284147,0.5305954305086255,0.2893157803527819,0.005973905491470797,0.28929527433604496,0.27792925826155185,0.3009285371519966,0.24127965015584357,1.0,0.000999000999000999,above_null_97_5
biological,herbal,6918,11418,6918,0.4985178537863961,0.5089628985340325,0.24639592319714707,0.0032124681929442643,0.2463354032623835,0.2404964232819208,0.25254323817005964,0.26256697533688544,1.0,0.000999000999000999,above_null_97_5
biological,pharmaceutical,6918,2579,2579,0.5958551512680121,0.6160708735224085,0.29351202972798446,0.006095221504413599,0.2936164718691354,0.2812118524806688,0.30454993839972055,0.32255884379442407,1.0,0.000999000999000999,above_null_97_5
biological,stars,6918,10694,6918,0.3347291601069759,0.3453271743396462,0.2320445595807326,0.002962926853556738,0.23198872809949483,0.22629823670903113,0.23802016578259266,0.1132826147589136,1.0,0.000999000999000999,above_null_97_5
biological,text,6918,1626,1626,0.5113033374073725,0.5492113478581161,0.32663788256145376,0.008366449009022552,0.3266480389521921,0.31062316118273176,0.3435022832796237,0.22257346529666233,1.0,0.000999000999000999,above_null_97_5
biological,zodiac,6918,1332,1332,0.6898941491112591,0.7186016070571358,0.3528323936016812,0.009094911062219994,0.35253274794436296,0.33612895477161,0.3700922026251101,0.3657692134554546,1.0,0.000999000999000999,above_null_97_5
cosmological,herbal,2550,11418,2550,0.4421483043194374,0.4863205830373728,0.37073305303108783,0.006999793731506301,0.3708186599923846,0.35711098878327596,0.3844994519468548,0.11558753000628497,1.0,0.000999000999000999,above_null_97_5
cosmological,pharmaceutical,2550,2579,2550,0.5613311195084363,0.5617662076758468,0.3834991851827905,0.005027559273539756,0.383388609400769,0.3736535033877451,0.39312180397015817,0.17826702249305632,1.0,0.000999000999000999,above_null_97_5
cosmological,stars,2550,10694,2550,0.44201233814307345,0.482534776139239,0.3633843644185471,0.007055981323262023,0.3633238098018511,0.3502344101129351,0.37776055836997124,0.1191504117206919,1.0,0.000999000999000999,above_null_97_5
cosmological,text,2550,1626,1626,0.46739630245416325,0.48879182738709825,0.4417485384386615,0.007907962104725528,0.4416825329919965,0.4263316288528751,0.4576654536185461,0.047043288948436734,1.0,0.000999000999000999,above_null_97_5
cosmological,zodiac,2550,1332,1332,0.5691746571897496,0.5939715285017919,0.48243845035877214,0.009154893823841723,0.48220775474224087,0.4647401017494373,0.49950835434939106,0.11153307814301977,1.0,0.000999000999000999,above_null_97_5
herbal,pharmaceutical,11418,2579,2579,0.44591760119837986,0.4880745687583334,0.3690749901420559,0.006905874114482367,0.368891717948554,0.3558453813448637,0.3832929722796027,0.11899957861627747,1.0,0.000999000999000999,above_null_97_5
herbal,stars,11418,10694,10694,0.4462304641923659,0.4480812950059133,0.2413752726268444,0.002205944393136656,0.2413906233653028,0.2372516858198262,0.2457332055520904,0.2067060223790689,1.0,0.000999000999000999,above_null_97_5
