currier_language,token,count
A,a,3
A,aey,1
A,aiees,1
A,aii,1
A,aiidal,1
A,aiiin,4
A,aiim,1
A,aiin,73
A,aiioly,1
A,aiir,1
A,aikheky,1
A,aim,2
A,ain,11
A,ainarals,1
A,ainy,1
A,aiphey,1
A,air,9
A,airaldy,1
A,airam,1
A,aithy,1
A,al,25
A,alaiin,1
A,alal,1
A,alam,2
A,alar,1
A,alcfhy,1
A,alchey,1
A,alchy,1
A,aldaiin,1
A,aldam,2
A,aldar,1
A,aldy,4
A,aleedy,1
A,alg,1
A,alkar,1
A,alkeain,1
A,alol,1
A,alols,1
A,aloly,1
A,alom,1
A,alor,2
A,alos,1
A,als,1
A,alsy,1
A,aly,1
A,am,17
A,amg,1
A,an,3
A,ar,41
A,arairaly,1
A,aral,3
A,aram,1
A,ararchodaiin,1
A,araroy,1
A,arary,2
A,archeey,1
A,archeody,1
A,are,1
A,arg,1
A,ariin,1
A,arodaim,1
A,arody,2
A,arol,1
A,arolor,1
A,arom,1
A,ary,2
A,ataiin,1
A,atolg,1
A,c,1
A,cckhhy,1
A,cfarasr,1
A,cfhaiin,1
A,cfham,1
A,cfhar,2
A,cfheody,1
A,cfheol,2
A,cfheos,1
A,cfhey,1
A,cfhoaiin,1
A,cfhodar,1
A,cfhodoral,1
A,cfhol,5
A,cfhoy,1
A,cfhs,1
A,cfhy,6
A,ch,3
A,cha,2
A,chad,1
A,chadaiin,1
A,chaiin,35
A,chaiind,1
A,chaiir,1
A,chain,10
A,chaindy,1
A,chair,1
A,chairal,1
A,chakeey,1
A,chakod,1
A,chal,15
A,chald,1
A,chalolky,1
A,chals,1
A,chalsain,1
A,chaltar,1
A,chaly,4
A,cham,11
A,chan,9
A,chapchy,1
A,char,30
A,chariin,1
A,chary,4
A,chcfhal,1
A,chcfhhy,2
A,chchoty,1
A,chchsty,1
A,chchy,1
A,chckaiin,1
A,chckh,2
A,chckhaly,1
A,chckhan,1
A,chckheey,1
A,chckheody,1
A,chckhey,4
A,chckhhy,3
A,chckhod,1
A,chckhol,1
A,chckhor,1
A,chckhoy,1
A,chckhs,1
A,chckhy,18
A,chcky,1
A,chcphhy,1
A,chcphol,1
A,chcphy,4
A,chcth,3
A,chcthaiin,1
A,chcthal,1
A,chcthey,2
A,chctho,2
A,chcthod,1
A,chcthody,2
A,chcthor,1
A,chcthosy,1
A,chcthso,1
A,chcthy,21
A,chd,1
A,chdain,1
A,chdlcty,1
A,chdoly,1
A,chdy,9
A,chead,1
A,cheaiin,2
A,cheain,2
A,cheal,7
A,cheam,2
A,cheamy,1
A,chean,2
A,chear,22
A,cheas,1
A,checkhey,3
A,checkhy,2
A,checthhy,1
A,checthy,1
A,chedain,1
A,chedal,1
A,chedo,1
A,chedy,2
A,cheea,1
A,cheeal,1
A,cheeckhody,1
A,cheecthy,1
A,cheedy,3
A,cheeeal,1
A,cheeen,1
A,cheeey,2
A,cheekdam,1
A,cheekeo,1
A,cheekey,3
A,cheeky,4
A,cheen,2
A,cheeo,1
A,cheeods,1
A,cheeody,4
A,cheeokeey,1
A,cheeol,3
A,cheeoldair,1
A,cheeor,8
A,cheeotaiin,1
A,chees,11
A,cheesees,1
A,cheet,1
A,cheey,34
A,cheeykam,1
A,cheeytey,1
A,chefoly,1
A,cheg,1
A,chekaiin,1
A,chekal,2
A,chekchey,1
A,chekchoy,1
A,chekechy,1
A,chekeesshy,1
A,chekeey,3
A,chekeg,1
A,chekeod,1
A,chekeol,1
A,chekhol,1
A,chekol,2
A,cheky,14
A,cheo,25
A,cheockhey,1
A,cheockhy,4
A,cheocphey,1
A,cheocthy,2
A,cheod,2
A,cheodaiin,5
A,cheodain,3
A,cheodal,4
A,cheodam,2
A,cheodar,2
A,cheodor,2
A,cheody,27
A,cheoe,1
A,cheoees,1
A,cheoekar,1
A,cheoepey,1
A,cheoiees,1
A,cheok,1
A,cheokal,2
A,cheokam,1
A,cheokchet,1
A,cheokchey,1
A,cheokeey,2
A,cheokeol,1
A,cheokeos,1
A,cheokor,1
A,cheoky,4
A,cheol,71
A,cheoldain,1
A,cheoldy,4
A,cheols,2
A,cheoly,1
A,cheom,6
A,cheomam,1
A,cheopor,1
A,cheor,59
A,cheorol,1
A,cheory,2
A,cheos,12
A,cheosdy,1
A,cheotar,1
A,cheotchar,1
A,cheotchy,1
A,cheotey,1
A,cheotol,2
A,cheoy,2
A,chep,1
A,chepcheol,1
A,chepchey,1
A,chepchy,1
A,chepy,2
A,cher,2
A,ches,5
A,chesey,1
A,chetaiin,1
A,chetan,1
A,chetar,1
A,chetchaiin,1
A,chetcho,1
A,chetchy,4
A,chetody,1
A,chety,8
A,chey,78
A,cheyd,1
A,cheykey,1
A,cheys,1
A,cheyty,1
A,chforaiin,1
A,chhy,1
A,chiin,1
A,chka,1
A,chkaiin,9
A,chkain,1
A,chkalar,1
A,chkalchy,1
A,chkaly,1
A,chkam,1
A,chkar,6
A,chkchean,1
A,chkcheean,1
A,chkchol,2
A,chkchory,1
A,chkchy,6
A,chkdain,1
A,chkeaiin,1
A,chkear,1
A,chkeeody,1
A,chkeey,7
A,chkeor,1
A,chkey,4
A,chko,1
A,chkodal,1
A,chkol,2
A,chkoldy,2
A,chkor,1
A,chkoy,1
A,chky,3
A,chl,6
A,chlol,1
A,chls,1
A,cho,49
A,choaiin,2
A,choar,1
A,chocfhhg,1
A,chocfhor,1
A,chochar,1
A,chochor,2
A,chochy,4
A,chockhar,1
A,chockhey,4
A,chockhhor,1
A,chockhhy,1
A,chockhol,1
A,chockhor,1
A,chockhy,12
A,chocphor,1
A,chocphy,2
A,choct,2
A,chocthey,5
A,chocthody,1
A,chocthy,12
A,chocty,1
A,chod,6
A,chodaiin,28
A,chodaiindy,1
A,chodain,4
A,chodair,2
A,chodal,1
A,chodalg,1
A,chodaly,3
A,chodam,1
A,chodar,7
A,chodchy,2
A,choddal,1
A,chodey,2
A,chodl,1
A,chodo,1
A,chodol,2
A,chodoldy,1
A,chodr,1
A,chody,44
A,chodykchy,1
A,chodys,1
A,choeee,1
A,choeees,1
A,choees,1
A,choeesy,1
A,choeey,1
A,choek,1
A,choeky,1
A,choety,1
A,chof,1
A,chofaly,1
A,chofary,1
A,chofchody,1
A,chofchol,1
A,chofchy,2
A,chofol,1
A,chofy,1
A,chofydy,1
A,choiin,13
A,chok,3
A,chokaiin,8
A,chokain,3
A,chokal,4
A,chokaly,1
A,chokam,3
A,chokan,2
A,chokar,1
A,chokaro,1
A,chokchaiin,1
A,chokcheey,1
A,chokcheo,1
A,chokchey,2
A,chokcho,2
A,chokchodaiin,1
A,chokchol,4
A,chokchor,1
A,chokchy,13
A,chokeeo,1
A,chokeeodol,1
A,chokeeody,2
A,chokeeoky,1
A,chokeeor,1
A,chokeey,5
A,chokeo,2
A,chokeody,3
A,chokeol,2
A,chokeor,1
A,chokeos,1
A,chokesey,1
A,chokey,6
A,choko,2
A,chokoaiin,1
A,chokody,2
A,chokoiin,1
A,chokoishe,1
A,chokokor,1
A,chokol,3
A,chokoldy,1
A,chokolg,1
A,chokor,3
A,chokoran,1
A,chokshchy,1
A,chokshor,1
A,chokshy,1
A,choksy,1
A,choky,26
A,chokyt,1
A,chol,280
A,cholaiin,3
A,cholal,1
A,cholaly,1
A,cholar,1
A,cholchaiin,1
A,choldaiin,1
A,choldal,1
A,choldar,1
A,choldchy,1
A,choldshy,1
A,choldy,8
A,cholfy,1
A,cholkar,1
A,cholkcheol,1
A,cholkeedy,1
A,cholkeey,1
A,cholo,1
A,cholody,4
A,cholol,2
A,chololer,1
A,cholols,2
A,chololy,1
A,cholor,2
A,cholp,1
A,cholraly,1
A,chols,2
A,cholsho,1
A,choltaiin,1
A,choltaly,1
A,choltam,1
A,choly,11
A,chom,15
A,chon,1
A,choo,1
A,chool,1
A,choor,2
A,chop,1
A,chopchal,1
A,chopcheey,1
A,chopcho,1
A,chopchol,1
A,chopchy,2
A,chopdain,1
A,chopol,1
A,chopy,3
A,chor,182
A,choraiin,3
A,chorain,1
A,choraly,1
A,chorcholsal,1
A,chorchy,1
A,chordom,1
A,chordy,2
A,choro,1
A,chorochy,1
A,chorody,1
A,choroiin,1
A,chorol,1
A,chorom,1
A,choror,3
A,choross,1
A,chory,11
A,chos,23
A,chosaiin,2
A,chosals,1
A,chosar,1
A,chosaroshol,1
A,choschy,1
A,choshy,3
A,chosory,1
A,chosy,1
A,chot,3
A,chotaiin,6
A,chotain,1
A,chotais,1
A,chotam,2
A,chotar,3
A,chotcheey,1
A,chotcheol,1
A,chotchey,3
A,chotcheytchol,1
A,chotcho,1
A,chotchody,1
A,chotchol,1
A,chotchy,11
A,choteeen,1
A,choteeey,1
A,choteey,1
A,choteol,2
A,chotey,3
A,choto,2
A,chotody,1
A,chotol,5
A,chotols,3
A,chotom,2
A,chotor,4
A,chots,1
A,chotshol,2
A,chotshy,1
A,choty,22
A,chotyokchy,1
A,choy,11
A,chpady,1
A,chpal,1
A,chpcheos,1
A,chpchey,1
A,chpchol,1
A,chr,3
A,chrky,1
A,chs,10
A,chschsa,1
A,chsea,1
A,chseeor,1
A,chsey,1
A,chshol,1
A,chshoty,1
A,chshy,1
A,chsm,1
A,chso,1
A,chtaem,1
A,chtaiin,1
A,chtain,1
A,chtaldy,1
A,chtar,1
A,chtchey,1
A,chtchor,1
A,chtchy,1
A,chtchyf,1
A,chteeor,1
A,chteor,1
A,chtod,1
A,chtodaiin,1
A,chtody,2
A,chtoiin,1
A,chtoithy,1
A,chtol,2
A,chtols,1
A,chtor,2
A,chtshar,1
A,chtshy,1
A,chty,7
A,chy,103
A,chyd,1
A,chydy,1
A,chykald,1
A,chykar,1
A,chykchy,2
A,chykey,2
A,chyky,5
A,chypaldy,1
A,chypcham,1
A,chypchy,1
A,chyqo,1
A,chyt,1
A,chytaroiin,1
A,chytchy,1
A,chyty,3
A,ck,2
A,ckaiin,1
A,ckcheey,1
A,ckcho,1
A,ckchol,1
A,ckey,1
A,ckhaiin,3
A,ckhal,2
A,ckham,3
A,ckhar,2
A,ckhear,1
A,ckheckhy,1
A,ckheeey,1
A,ckheeody,1
A,ckheeol,1
A,ckheey,9
A,ckheo,3
A,ckheod,1
A,ckheodar,1
A,ckheody,5
A,ckheokey,1
A,ckheol,6
A,ckheor,1
A,ckheos,2
A,ckhey,28
A,ckhhy,3
A,ckho,3
A,ckhochy,1
A,ckhocthy,1
A,ckhod,1
A,ckhody,4
A,ckhoiin,1
A,ckhol,20
A,ckholdy,1
A,ckholsy,1
A,ckholy,1
A,ckhoor,1
A,ckhor,8
A,ckhory,1
A,ckhos,3
A,ckhoy,1
A,ckhs,1
A,ckhy,29
A,ckhydom,1
A,ckhyds,1
A,ckooaiin,1
A,cky,2
A,co,1
A,coain,1
A,coeky,1
A,coy,1
A,cphaiin,6
A,cphain,1
A,cphal,1
A,cphaldy,1
A,cphar,3
A,cpharom,1
A,cphary,1
A,cphchar,1
A,cphdaithy,1
A,cphealy,1
A,cpheckhy,2
A,cpheeaiin,1
A,cpheey,1
A,cpheo,1
A,cpheocthy,1
A,cpheodaiin,1
A,cpheodar,1
A,cpheodor,1
A,cpheody,2
A,cpheol,3
A,cpheor,3
A,cpheos,1
A,cphesaiin,1
A,cphey,4
A,cpheyr,1
A,cpho,2
A,cphoaiin,1
A,cphoal,1
A,cphoar,1
A,cphod,1
A,cphodaiils,1
A,cphodal,1
A,cphodales,1
A,cphodar,1
A,cphodol,1
A,cphody,1
A,cphoeedol,1
A,cphokchol,1
A,cphol,12
A,cpholdy,2
A,cphom,1
A,cphor,5
A,cphorods,1
A,cphoy,2
A,cphy,10
A,cphydy,1
A,cpy,1
A,csees,1
A,cshe,1
A,csol,1
A,ct,10
A,ctchey,1
A,ctchy,2
A,ctey,1
A,cth,5
A,ctha,1
A,cthachcthy,1
A,cthaichar,1
A,cthaiin,13
A,cthaildy,1
A,cthain,4
A,cthal,6
A,ctham,1
A,cthan,1
A,cthar,17
A,cthchy,2
A,cthckeom,1
A,cthd,1
A,cthdaoto,1
A,cthdeecthy,1
A,cthear,1
A,cthedy,1
A,ctheea,1
A,ctheees,1
A,ctheen,1
A,cthees,1
A,ctheey,10
A,ctheo,1
A,ctheockhosho,1
A,ctheod,2
A,ctheodal,1
A,ctheodody,1
A,ctheody,6
A,ctheol,9
A,ctheoly,1
A,ctheor,5
A,ctheos,1
A,ctheotol,1
A,cthes,2
A,cthey,39
A,cthhy,1
A,cthl,1
A,ctho,15
A,cthoary,1
A,cthochy,1
A,cthod,4
A,cthodaiin,1
A,cthodaiis,1
A,cthodaim,1
A,cthodal,2
A,cthodam,1
A,cthodar,1
A,cthodd,1
A,cthodoaly,1
A,cthodol,2
A,cthody,16
A,cthog,1
A,cthoiin,2
A,cthol,56
A,cthold,1
A,ctholdar,1
A,ctholdg,1
A,ctholdy,1
A,ctholo,1
A,cthols,2
A,ctholy,4
A,cthom,9
A,cthoo,1
A,cthoor,1
A,cthor,42
A,cthoral,1
A,cthorchy,1
A,cthory,2
A,cthos,1
A,cthoshol,1
A,cthosm,1
A,cthosy,1
A,cthres,1
A,cths,1
A,cthscthain,1
A,cthy,101
A,cthyaiin,1
A,cthyd,1
A,cto,1
A,ctoiin,1
A,ctol,1
A,cty,2
A,cy,1
A,d,31
A,da,5
A,dachy,1
A,dady,2
A,daicthy,1
A,daid,1
A,daiidal,1
A,daiidy,3
A,daiiin,10
A,daiiine,1
A,daiiirchy,1
A,daiiithy,1
A,daiild,1
