currier_language,token,share
A,a,0.00026200873362445414
A,aey,8.733624454148471e-05
A,aiees,8.733624454148471e-05
A,aii,8.733624454148471e-05
A,aiidal,8.733624454148471e-05
A,aiiin,0.00034934497816593884
A,aiim,8.733624454148471e-05
A,aiin,0.006375545851528384
A,aiioly,8.733624454148471e-05
A,aiir,8.733624454148471e-05
A,aikheky,8.733624454148471e-05
A,aim,0.00017467248908296942
A,ain,0.0009606986899563319
A,ainarals,8.733624454148471e-05
A,ainy,8.733624454148471e-05
A,aiphey,8.733624454148471e-05
A,air,0.0007860262008733624
A,airaldy,8.733624454148471e-05
A,airam,8.733624454148471e-05
A,aithy,8.733624454148471e-05
A,al,0.002183406113537118
A,alaiin,8.733624454148471e-05
A,alal,8.733624454148471e-05
A,alam,0.00017467248908296942
A,alar,8.733624454148471e-05
A,alcfhy,8.733624454148471e-05
A,alchey,8.733624454148471e-05
A,alchy,8.733624454148471e-05
A,aldaiin,8.733624454148471e-05
A,aldam,0.00017467248908296942
A,aldar,8.733624454148471e-05
A,aldy,0.00034934497816593884
A,aleedy,8.733624454148471e-05
A,alg,8.733624454148471e-05
A,alkar,8.733624454148471e-05
A,alkeain,8.733624454148471e-05
A,alol,8.733624454148471e-05
A,alols,8.733624454148471e-05
A,aloly,8.733624454148471e-05
A,alom,8.733624454148471e-05
A,alor,0.00017467248908296942
A,alos,8.733624454148471e-05
A,als,8.733624454148471e-05
A,alsy,8.733624454148471e-05
A,aly,8.733624454148471e-05
A,am,0.0014847161572052402
A,amg,8.733624454148471e-05
A,an,0.00026200873362445414
A,ar,0.0035807860262008734
A,arairaly,8.733624454148471e-05
A,aral,0.00026200873362445414
A,aram,8.733624454148471e-05
A,ararchodaiin,8.733624454148471e-05
A,araroy,8.733624454148471e-05
A,arary,0.00017467248908296942
A,archeey,8.733624454148471e-05
A,archeody,8.733624454148471e-05
A,are,8.733624454148471e-05
A,arg,8.733624454148471e-05
A,ariin,8.733624454148471e-05
A,arodaim,8.733624454148471e-05
A,arody,0.00017467248908296942
A,arol,8.733624454148471e-05
A,arolor,8.733624454148471e-05
A,arom,8.733624454148471e-05
A,ary,0.00017467248908296942
A,ataiin,8.733624454148471e-05
A,atolg,8.733624454148471e-05
A,c,8.733624454148471e-05
A,cckhhy,8.733624454148471e-05
A,cfarasr,8.733624454148471e-05
A,cfhaiin,8.733624454148471e-05
A,cfham,8.733624454148471e-05
A,cfhar,0.00017467248908296942
A,cfheody,8.733624454148471e-05
A,cfheol,0.00017467248908296942
A,cfheos,8.733624454148471e-05
A,cfhey,8.733624454148471e-05
A,cfhoaiin,8.733624454148471e-05
A,cfhodar,8.733624454148471e-05
A,cfhodoral,8.733624454148471e-05
A,cfhol,0.0004366812227074236
A,cfhoy,8.733624454148471e-05
A,cfhs,8.733624454148471e-05
A,cfhy,0.0005240174672489083
A,ch,0.00026200873362445414
A,cha,0.00017467248908296942
A,chad,8.733624454148471e-05
A,chadaiin,8.733624454148471e-05
A,chaiin,0.003056768558951965
A,chaiind,8.733624454148471e-05
A,chaiir,8.733624454148471e-05
A,chain,0.0008733624454148472
A,chaindy,8.733624454148471e-05
A,chair,8.733624454148471e-05
A,chairal,8.733624454148471e-05
A,chakeey,8.733624454148471e-05
A,chakod,8.733624454148471e-05
A,chal,0.0013100436681222707
A,chald,8.733624454148471e-05
A,chalolky,8.733624454148471e-05
A,chals,8.733624454148471e-05
A,chalsain,8.733624454148471e-05
A,chaltar,8.733624454148471e-05
A,chaly,0.00034934497816593884
A,cham,0.0009606986899563319
A,chan,0.0007860262008733624
A,chapchy,8.733624454148471e-05
A,char,0.0026200873362445414
A,chariin,8.733624454148471e-05
A,chary,0.00034934497816593884
A,chcfhal,8.733624454148471e-05
A,chcfhhy,0.00017467248908296942
A,chchoty,8.733624454148471e-05
A,chchsty,8.733624454148471e-05
A,chchy,8.733624454148471e-05
A,chckaiin,8.733624454148471e-05
A,chckh,0.00017467248908296942
A,chckhaly,8.733624454148471e-05
A,chckhan,8.733624454148471e-05
A,chckheey,8.733624454148471e-05
A,chckheody,8.733624454148471e-05
A,chckhey,0.00034934497816593884
A,chckhhy,0.00026200873362445414
A,chckhod,8.733624454148471e-05
A,chckhol,8.733624454148471e-05
A,chckhor,8.733624454148471e-05
A,chckhoy,8.733624454148471e-05
A,chckhs,8.733624454148471e-05
A,chckhy,0.0015720524017467249
A,chcky,8.733624454148471e-05
A,chcphhy,8.733624454148471e-05
A,chcphol,8.733624454148471e-05
A,chcphy,0.00034934497816593884
A,chcth,0.00026200873362445414
A,chcthaiin,8.733624454148471e-05
A,chcthal,8.733624454148471e-05
A,chcthey,0.00017467248908296942
A,chctho,0.00017467248908296942
A,chcthod,8.733624454148471e-05
A,chcthody,0.00017467248908296942
A,chcthor,8.733624454148471e-05
A,chcthosy,8.733624454148471e-05
A,chcthso,8.733624454148471e-05
A,chcthy,0.001834061135371179
A,chd,8.733624454148471e-05
A,chdain,8.733624454148471e-05
A,chdlcty,8.733624454148471e-05
A,chdoly,8.733624454148471e-05
A,chdy,0.0007860262008733624
A,chead,8.733624454148471e-05
A,cheaiin,0.00017467248908296942
A,cheain,0.00017467248908296942
A,cheal,0.000611353711790393
A,cheam,0.00017467248908296942
A,cheamy,8.733624454148471e-05
A,chean,0.00017467248908296942
A,chear,0.0019213973799126639
A,cheas,8.733624454148471e-05
A,checkhey,0.00026200873362445414
A,checkhy,0.00017467248908296942
A,checthhy,8.733624454148471e-05
A,checthy,8.733624454148471e-05
A,chedain,8.733624454148471e-05
A,chedal,8.733624454148471e-05
A,chedo,8.733624454148471e-05
A,chedy,0.00017467248908296942
A,cheea,8.733624454148471e-05
A,cheeal,8.733624454148471e-05
A,cheeckhody,8.733624454148471e-05
A,cheecthy,8.733624454148471e-05
A,cheedy,0.00026200873362445414
A,cheeeal,8.733624454148471e-05
A,cheeen,8.733624454148471e-05
A,cheeey,0.00017467248908296942
A,cheekdam,8.733624454148471e-05
A,cheekeo,8.733624454148471e-05
A,cheekey,0.00026200873362445414
A,cheeky,0.00034934497816593884
A,cheen,0.00017467248908296942
A,cheeo,8.733624454148471e-05
A,cheeods,8.733624454148471e-05
A,cheeody,0.00034934497816593884
A,cheeokeey,8.733624454148471e-05
A,cheeol,0.00026200873362445414
A,cheeoldair,8.733624454148471e-05
A,cheeor,0.0006986899563318777
A,cheeotaiin,8.733624454148471e-05
A,chees,0.0009606986899563319
A,cheesees,8.733624454148471e-05
A,cheet,8.733624454148471e-05
A,cheey,0.0029694323144104804
A,cheeykam,8.733624454148471e-05
A,cheeytey,8.733624454148471e-05
A,chefoly,8.733624454148471e-05
A,cheg,8.733624454148471e-05
A,chekaiin,8.733624454148471e-05
A,chekal,0.00017467248908296942
A,chekchey,8.733624454148471e-05
A,chekchoy,8.733624454148471e-05
A,chekechy,8.733624454148471e-05
A,chekeesshy,8.733624454148471e-05
A,chekeey,0.00026200873362445414
A,chekeg,8.733624454148471e-05
A,chekeod,8.733624454148471e-05
A,chekeol,8.733624454148471e-05
A,chekhol,8.733624454148471e-05
A,chekol,0.00017467248908296942
A,cheky,0.001222707423580786
A,cheo,0.002183406113537118
A,cheockhey,8.733624454148471e-05
A,cheockhy,0.00034934497816593884
A,cheocphey,8.733624454148471e-05
A,cheocthy,0.00017467248908296942
A,cheod,0.00017467248908296942
A,cheodaiin,0.0004366812227074236
A,cheodain,0.00026200873362445414
A,cheodal,0.00034934497816593884
A,cheodam,0.00017467248908296942
A,cheodar,0.00017467248908296942
A,cheodor,0.00017467248908296942
A,cheody,0.0023580786026200875
A,cheoe,8.733624454148471e-05
A,cheoees,8.733624454148471e-05
A,cheoekar,8.733624454148471e-05
A,cheoepey,8.733624454148471e-05
A,cheoiees,8.733624454148471e-05
A,cheok,8.733624454148471e-05
A,cheokal,0.00017467248908296942
A,cheokam,8.733624454148471e-05
A,cheokchet,8.733624454148471e-05
A,cheokchey,8.733624454148471e-05
A,cheokeey,0.00017467248908296942
A,cheokeol,8.733624454148471e-05
A,cheokeos,8.733624454148471e-05
A,cheokor,8.733624454148471e-05
A,cheoky,0.00034934497816593884
A,cheol,0.006200873362445415
A,cheoldain,8.733624454148471e-05
A,cheoldy,0.00034934497816593884
A,cheols,0.00017467248908296942
A,cheoly,8.733624454148471e-05
A,cheom,0.0005240174672489083
A,cheomam,8.733624454148471e-05
A,cheopor,8.733624454148471e-05
A,cheor,0.005152838427947598
A,cheorol,8.733624454148471e-05
A,cheory,0.00017467248908296942
A,cheos,0.0010480349344978166
A,cheosdy,8.733624454148471e-05
A,cheotar,8.733624454148471e-05
A,cheotchar,8.733624454148471e-05
A,cheotchy,8.733624454148471e-05
A,cheotey,8.733624454148471e-05
A,cheotol,0.00017467248908296942
A,cheoy,0.00017467248908296942
A,chep,8.733624454148471e-05
