section,currier_language,token_count,share_of_section_tokens,share_of_currier_tokens
biological,A,0,0.0,0.0
biological,B,6918,1.0,0.2978815018945918
cosmological,A,0,0.0,0.0
cosmological,B,1487,1.0,0.0640285911126421
herbal,A,7925,0.697009674582234,0.6921397379912664
herbal,B,3445,0.30299032541776605,0.14833792628315537
pharmaceutical,A,2579,1.0,0.22524017467248908
pharmaceutical,B,0,0.0,0.0
stars,A,0,0.0,0.0
stars,B,10694,1.0,0.4604719255942129
text,A,946,0.5817958179581796,0.08262008733624454
text,B,680,0.4182041820418204,0.029280055115397864
