locator,folio_id,currier_language,reason
"f57v.1,@L0;H",f57v,,Currier label is blank
"f57v.2,@Cc;H",f57v,,Currier label is blank
"f57v.3,+Cc;H",f57v,,Currier label is blank
"f57v.4,+Cc;H",f57v,,Currier label is blank
"f57v.5,+Cc;H",f57v,,Currier label is blank
"f57v.8,@L0;H",f57v,,Currier label is blank
"f57v.7,@L0;H",f57v,,Currier label is blank
"f57v.9,@L0;H",f57v,,Currier label is blank
"f57v.6,@L0;H",f57v,,Currier label is blank
"f57v.11,@Ro;H",f57v,,Currier label is blank
"f57v.12,@Ro;H",f57v,,Currier label is blank
"f57v.13,@Ro;H",f57v,,Currier label is blank
"f57v.10,@Ro;H",f57v,,Currier label is blank
"f65r.1,@Lp;H",f65r,,Currier label is blank
"f65v.1,@P0;H",f65v,,Currier label is blank
"f65v.2,+P0;H",f65v,,Currier label is blank
"f65v.3,+P0;H",f65v,,Currier label is blank
"f65v.4,+P0;H",f65v,,Currier label is blank
"f65v.5,+P0;H",f65v,,Currier label is blank
"f65v.6,+P0;H",f65v,,Currier label is blank
"f67r1.1,@P0;H",f67r1,,Currier label is blank
"f67r1.2,+P0;H",f67r1,,Currier label is blank
"f67r1.3,+P0;H",f67r1,,Currier label is blank
"f67r1.4,+P0;H",f67r1,,Currier label is blank
"f67r1.5,@Cc;H",f67r1,,Currier label is blank
"f67r1.6,+Cc;H",f67r1,,Currier label is blank
"f67r1.7,+Cc;H",f67r1,,Currier label is blank
"f67r1.8,@Ri;H",f67r1,,Currier label is blank
"f67r1.9,@Ri;H",f67r1,,Currier label is blank
"f67r1.10,@Ri;H",f67r1,,Currier label is blank
"f67r1.11,@Ri;H",f67r1,,Currier label is blank
"f67r1.12,@Ri;H",f67r1,,Currier label is blank
"f67r1.13,@Ri;H",f67r1,,Currier label is blank
"f67r1.14,@Ri;H",f67r1,,Currier label is blank
"f67r1.15,@Ri;H",f67r1,,Currier label is blank
"f67r1.16,@Ri;H",f67r1,,Currier label is blank
"f67r1.17,@Ri;H",f67r1,,Currier label is blank
"f67r1.18,@Ri;H",f67r1,,Currier label is blank
"f67r1.19,@Ri;H",f67r1,,Currier label is blank
"f67r2.12,&L0;H",f67r2,,Currier label is blank
"f67r2.1,@L0;H",f67r2,,Currier label is blank
"f67r2.2,&L0;H",f67r2,,Currier label is blank
"f67r2.3,&L0;H",f67r2,,Currier label is blank
"f67r2.4,&L0;H",f67r2,,Currier label is blank
"f67r2.5,&L0;H",f67r2,,Currier label is blank
"f67r2.6,&L0;H",f67r2,,Currier label is blank
"f67r2.7,&L0;H",f67r2,,Currier label is blank
"f67r2.8,&L0;H",f67r2,,Currier label is blank
"f67r2.9,&L0;H",f67r2,,Currier label is blank
"f67r2.10,&L0;H",f67r2,,Currier label is blank
"f67r2.11,&L0;H",f67r2,,Currier label is blank
"f67r2.48,@Pb;H",f67r2,,Currier label is blank
"f67r2.49,+Pb;H",f67r2,,Currier label is blank
"f67r2.50,+Pb;H",f67r2,,Currier label is blank
"f67r2.51,+Pb;H",f67r2,,Currier label is blank
"f67r2.13,@Pb;H",f67r2,,Currier label is blank
"f67r2.14,+Pb;H",f67r2,,Currier label is blank
"f67r2.16,@Pb;H",f67r2,,Currier label is blank
"f67r2.17,+Pb;H",f67r2,,Currier label is blank
