currier_language,section_a,section_b,token_count_a,token_count_b,observed_jsd_bits,null_jsd_mean_bits,null_jsd_std_bits,null_jsd_median_bits,null_jsd_q025_bits,null_jsd_q975_bits,observed_minus_null_mean_bits,empirical_percentile,empirical_p_value,conclusion_label
A,herbal,pharmaceutical,7925,2579,0.46003087758166394,0.3140958894303598,0.004224065686832165,0.3139963613151572,0.3055821543523699,0.3227612126383757,0.14593498815130412,1.0,0.000999000999000999,above_null_97_5
A,herbal,text,7925,946,0.5577860920405742,0.3969625920717335,0.007719921928058528,0.3970161601910266,0.3817780179707968,0.41232882278715915,0.16082349996884066,1.0,0.000999000999000999,above_null_97_5
A,pharmaceutical,text,2579,946,0.5889700360064665,0.45147480659290373,0.007938662192269888,0.45132089285126836,0.43576055594369134,0.46728794365315,0.13749522941356274,1.0,0.000999000999000999,above_null_97_5
B,biological,cosmological,6918,1487,0.49426164847168,0.26738603675665884,0.005411995593258477,0.26708963501929905,0.25700319488733403,0.2781691281977957,0.22687561171502119,1.0,0.000999000999000999,above_null_97_5
B,biological,herbal,6918,3445,0.41441002642597613,0.23419324703763986,0.003484566371520122,0.23435455187298582,0.22749175698118188,0.24083236154875706,0.18021677938833627,1.0,0.000999000999000999,above_null_97_5
B,biological,stars,6918,10694,0.3347291601069759,0.21772033695514914,0.0022976381781666957,0.21768575936899817,0.21337467215529304,0.22231144311518566,0.11700882315182676,1.0,0.000999000999000999,above_null_97_5
B,biological,text,6918,680,0.5155842339734495,0.32262743401513744,0.008792323035331825,0.32220234337675546,0.30583390280876155,0.3403242997308751,0.1929567999583121,1.0,0.000999000999000999,above_null_97_5
B,cosmological,herbal,1487,3445,0.4398066233130502,0.3623183813715369,0.006052871227252933,0.3622190361495778,0.35107043087848105,0.3746546872363634,0.07748824194151333,1.0,0.000999000999000999,above_null_97_5
B,cosmological,stars,1487,10694,0.44214810660239734,0.3482629133981721,0.006158606820698979,0.3480431474407448,0.33664903909408544,0.3602282333943558,0.09388519320422523,1.0,0.000999000999000999,above_null_97_5
B,cosmological,text,1487,680,0.5593658182320294,0.4628100936004154,0.009605079270580946,0.4623205511403197,0.44473452147854836,0.4826961810711343,0.09655572463161394,1.0,0.000999000999000999,above_null_97_5
B,herbal,stars,3445,10694,0.39893312086613775,0.2851824316386671,0.0035934488203368063,0.2853115103511742,0.27801253552409744,0.2923933080873572,0.11375068922747067,1.0,0.000999000999000999,above_null_97_5
B,herbal,text,3445,680,0.5024211645291627,0.4353382732843017,0.009590773903468533,0.43496309375895936,0.4172008499491102,0.4552030820807488,0.06708289124486105,1.0,0.000999000999000999,above_null_97_5
B,stars,text,10694,680,0.5381112515634419,0.4311264527913817,0.009782406110412976,0.43095441184512784,0.4132355855495261,0.4506730092798926,0.10698479877206019,1.0,0.000999000999000999,above_null_97_5
