hand_a,hand_b,token_count_hand_a,token_count_hand_b,jensen_shannon_divergence_bits
1,2,7273,9704,0.5754465586431469
1,3,7273,1820,0.5983447948003672
1,4,7273,875,0.552077349949246
1,5,7273,546,0.6417367098656848
1,X,7273,2741,0.6182514693026644
1,Y,7273,760,0.708469692496658
2,3,9704,1820,0.427731745513103
2,4,9704,875,0.6579594945841811
2,5,9704,546,0.47337303358138727
2,X,9704,2741,0.3544133733369397
2,Y,9704,760,0.5730348720576313
3,4,1820,875,0.6754394709256251
3,5,1820,546,0.4881553214039556
3,X,1820,2741,0.4469127536785483
3,Y,1820,760,0.5481388366901543
4,5,875,546,0.735205649944461
4,X,875,2741,0.6777857162365827
4,Y,875,760,0.7337568892394193
5,X,546,2741,0.5299916708267526
5,Y,546,760,0.6505141714796152
X,Y,2741,760,0.5600711079976806
