section,hand,line_count
astronomical,1,0
astronomical,2,0
astronomical,3,0
astronomical,4,0
astronomical,5,0
astronomical,X,0
astronomical,Y,0
biological,1,0
biological,2,917
biological,3,0
biological,4,0
biological,5,0
biological,X,0
biological,Y,0
cosmological,1,0
cosmological,2,0
cosmological,3,153
cosmological,4,0
cosmological,5,0
cosmological,X,0
cosmological,Y,0
herbal,1,1117
herbal,2,304
herbal,3,0
herbal,4,100
herbal,5,61
herbal,X,0
herbal,Y,0
pharmaceutical,1,0
pharmaceutical,2,0
pharmaceutical,3,0
pharmaceutical,4,61
pharmaceutical,5,0
pharmaceutical,X,0
pharmaceutical,Y,0
stars,1,0
stars,2,0
stars,3,0
stars,4,0
stars,5,0
stars,X,283
stars,Y,75
text,1,28
text,2,0
text,3,35
text,4,0
text,5,0
text,X,0
text,Y,0
zodiac,1,0
zodiac,2,0
zodiac,3,0
zodiac,4,0
zodiac,5,0
zodiac,X,0
zodiac,Y,0
