section,hand,line_count,token_count,percent_of_section_tokens,percent_of_hand_tokens
astronomical,1,0,0,0.0,0.0
astronomical,2,0,0,0.0,0.0
astronomical,3,0,0,0.0,0.0
astronomical,4,0,0,0.0,0.0
astronomical,5,0,0,0.0,0.0
astronomical,X,0,0,0.0,0.0
astronomical,Y,0,0,0.0,0.0
biological,1,0,0,0.0,0.0
biological,2,917,6918,1.0,0.7129018961253092
biological,3,0,0,0.0,0.0
biological,4,0,0,0.0,0.0
biological,5,0,0,0.0,0.0
biological,X,0,0,0.0,0.0
biological,Y,0,0,0.0,0.0
cosmological,1,0,0,0.0,0.0
cosmological,2,0,0,0.0,0.0
cosmological,3,153,1487,0.5831372549019608,0.817032967032967
cosmological,4,0,0,0.0,0.0
cosmological,5,0,0,0.0,0.0
cosmological,X,0,0,0.0,0.0
cosmological,Y,0,0,0.0,0.0
herbal,1,1117,7060,0.6183219478017166,0.970713598240066
herbal,2,304,2786,0.2440007006480995,0.28709810387469087
herbal,3,0,0,0.0,0.0
herbal,4,100,579,0.050709406200735684,0.6617142857142857
herbal,5,61,546,0.047819232790331054,1.0
herbal,X,0,0,0.0,0.0
herbal,Y,0,0,0.0,0.0
pharmaceutical,1,0,0,0.0,0.0
pharmaceutical,2,0,0,0.0,0.0
pharmaceutical,3,0,0,0.0,0.0
pharmaceutical,4,61,296,0.11477316789453276,0.3382857142857143
pharmaceutical,5,0,0,0.0,0.0
pharmaceutical,X,0,0,0.0,0.0
pharmaceutical,Y,0,0,0.0,0.0
stars,1,0,0,0.0,0.0
stars,2,0,0,0.0,0.0
stars,3,0,0,0.0,0.0
stars,4,0,0,0.0,0.0
stars,5,0,0,0.0,0.0
stars,X,283,2741,0.25631195062651957,1.0
stars,Y,75,760,0.07106788853562745,1.0
text,1,28,213,0.13099630996309963,0.029286401759934
text,2,0,0,0.0,0.0
text,3,35,333,0.2047970479704797,0.18296703296703296
text,4,0,0,0.0,0.0
text,5,0,0,0.0,0.0
text,X,0,0,0.0,0.0
text,Y,0,0,0.0,0.0
zodiac,1,0,0,0.0,0.0
zodiac,2,0,0,0.0,0.0
zodiac,3,0,0,0.0,0.0
zodiac,4,0,0,0.0,0.0
zodiac,5,0,0,0.0,0.0
zodiac,X,0,0,0.0,0.0
zodiac,Y,0,0,0.0,0.0
