hand,rank,token,count,share
1,1,daiin,384,0.052798020074247214
1,2,chol,218,0.029973875979650764
1,3,chor,148,0.020349236903616116
1,4,s,105,0.014436958614051972
1,5,dy,101,0.013886979238278564
1,6,shol,97,0.013336999862505156
1,7,cthy,95,0.013062010174618452
1,8,sho,94,0.0129245153306751
1,9,chy,94,0.0129245153306751
1,10,dain,76,0.010449608139694762
1,11,dar,65,0.008937164856317887
1,12,y,63,0.008662175168431183
1,13,shor,62,0.008524680324487832
1,14,shy,58,0.007974700948714422
1,15,chey,54,0.0074247215729410145
1,16,or,50,0.0068747421971676066
1,17,qotchy,49,0.006737247353224254
1,18,ol,47,0.00646225766533755
1,19,cthol,46,0.006324762821394198
1,20,dal,43,0.005912278289564142
1,21,cthor,41,0.005637288601677437
1,22,cho,39,0.005362298913790733
1,23,dor,37,0.005087309225904029
1,24,dol,37,0.005087309225904029
1,25,qokchy,37,0.005087309225904029
1,26,oty,36,0.004949814381960676
1,27,shey,35,0.004812319538017324
1,28,chaiin,34,0.004674824694073972
1,29,oky,33,0.00453732985013062
1,30,dam,31,0.004262340162243916
2,1,shedy,278,0.0286479802143446
2,2,chedy,265,0.027308326463314096
2,3,ol,257,0.026483924154987633
2,4,qokedy,202,0.0208161582852432
2,5,qokeedy,162,0.01669414674361088
2,6,qokain,162,0.01669414674361088
2,7,daiin,148,0.015251442704039572
2,8,or,126,0.012984336356141797
2,9,qol,117,0.012056883759274526
2,10,qokal,112,0.011541632316570486
2,11,chey,111,0.011438582028029678
2,12,dar,107,0.011026380873866447
2,13,shey,105,0.010820280296784831
2,14,qokaiin,101,0.0104080791426216
2,15,aiin,96,0.00989282769991756
2,16,qokeey,95,0.009789777411376752
2,17,dy,86,0.00886232481450948
2,18,dal,82,0.008450123660346249
2,19,otedy,73,0.007522671063478978
2,20,chckhy,70,0.007213520197856554
2,21,okedy,69,0.007110469909315746
2,22,qokar,69,0.007110469909315746
2,23,ar,68,0.007007419620774938
2,24,qoky,66,0.0068013190436933225
2,25,lchedy,61,0.006286067600989283
2,26,qotedy,60,0.006183017312448475
2,27,okaiin,60,0.006183017312448475
2,28,chdy,60,0.006183017312448475
2,29,saiin,57,0.005873866446826051
2,30,okain,56,0.005770816158285243
3,1,aiin,51,0.028021978021978023
3,2,or,46,0.025274725274725275
3,3,ol,35,0.019230769230769232
3,4,ar,32,0.017582417582417582
3,5,dar,27,0.014835164835164835
3,6,daiin,25,0.013736263736263736
3,7,chedy,21,0.011538461538461539
3,8,qokar,20,0.01098901098901099
3,9,qokaiin,18,0.00989010989010989
3,10,otar,17,0.00934065934065934
3,11,shedy,16,0.008791208791208791
3,12,otedy,16,0.008791208791208791
3,13,ytaiin,16,0.008791208791208791
3,14,ykaiin,15,0.008241758241758242
3,15,otaiin,13,0.007142857142857143
3,16,chdy,13,0.007142857142857143
3,17,dal,12,0.006593406593406593
3,18,am,12,0.006593406593406593
3,19,chey,12,0.006593406593406593
3,20,otal,12,0.006593406593406593
3,21,shey,11,0.006043956043956044
3,22,al,11,0.006043956043956044
3,23,qotaiin,10,0.005494505494505495
3,24,chol,10,0.005494505494505495
3,25,aiiin,10,0.005494505494505495
3,26,oraiin,9,0.004945054945054945
3,27,dy,9,0.004945054945054945
3,28,okar,9,0.004945054945054945
3,29,qotar,9,0.004945054945054945
3,30,qokal,9,0.004945054945054945
4,1,daiin,22,0.025142857142857144
4,2,s,21,0.024
4,3,chol,13,0.014857142857142857
4,4,cheol,11,0.012571428571428572
4,5,or,11,0.012571428571428572
4,6,ol,10,0.011428571428571429
4,7,chor,9,0.010285714285714285
4,8,cheor,9,0.010285714285714285
4,9,dar,8,0.009142857142857144
4,10,cthey,8,0.009142857142857144
4,11,aiin,8,0.009142857142857144
4,12,chody,8,0.009142857142857144
4,13,saiin,6,0.006857142857142857
4,14,sal,6,0.006857142857142857
4,15,sheo,6,0.006857142857142857
4,16,dal,6,0.006857142857142857
4,17,shol,6,0.006857142857142857
4,18,shody,6,0.006857142857142857
4,19,sheol,6,0.006857142857142857
4,20,dain,6,0.006857142857142857
4,21,qokeody,6,0.006857142857142857
4,22,cheody,6,0.006857142857142857
4,23,qokol,6,0.006857142857142857
4,24,dol,6,0.006857142857142857
4,25,cthody,5,0.005714285714285714
4,26,sheor,5,0.005714285714285714
4,27,okol,5,0.005714285714285714
4,28,cthol,5,0.005714285714285714
4,29,sor,4,0.004571428571428572
4,30,cheos,4,0.004571428571428572
5,1,chdy,18,0.03296703296703297
5,2,or,12,0.02197802197802198
5,3,ol,11,0.020146520146520148
5,4,daiin,10,0.018315018315018316
5,5,aiin,9,0.016483516483516484
5,6,chedy,9,0.016483516483516484
5,7,okal,7,0.01282051282051282
5,8,qokaiin,7,0.01282051282051282
5,9,okar,6,0.01098901098901099
5,10,qoky,6,0.01098901098901099
5,11,otain,6,0.01098901098901099
5,12,dar,6,0.01098901098901099
5,13,qokar,6,0.01098901098901099
5,14,chckhy,6,0.01098901098901099
5,15,okaiin,5,0.009157509157509158
5,16,otar,5,0.009157509157509158
5,17,oty,5,0.009157509157509158
5,18,okain,5,0.009157509157509158
5,19,qotar,4,0.007326007326007326
5,20,qokal,4,0.007326007326007326
5,21,chol,4,0.007326007326007326
5,22,am,4,0.007326007326007326
5,23,oteey,4,0.007326007326007326
5,24,chdaiin,4,0.007326007326007326
5,25,ar,4,0.007326007326007326
5,26,tar,4,0.007326007326007326
5,27,chcthy,4,0.007326007326007326
5,28,ody,4,0.007326007326007326
5,29,shedy,4,0.007326007326007326
5,30,oky,3,0.005494505494505495
X,1,qokeey,48,0.017511856986501276
X,2,aiin,48,0.017511856986501276
X,3,shedy,47,0.017147026632615834
X,4,chedy,46,0.01678219627873039
X,5,qokaiin,36,0.013133892739875957
X,6,ol,35,0.012769062385990515
X,7,chey,33,0.012039401678219628
X,8,shey,32,0.011674571324334184
X,9,qokain,31,0.011309740970448741
X,10,ar,29,0.010580080262677856
X,11,qokeedy,27,0.009850419554906968
X,12,okain,25,0.009120758847136081
X,13,okeey,25,0.009120758847136081
X,14,daiin,25,0.009120758847136081
X,15,cheey,21,0.007661437431594309
X,16,al,20,0.0072966070777088655
X,17,otaiin,18,0.006566946369937978
X,18,oteedy,18,0.006566946369937978
X,19,chol,18,0.006566946369937978
X,20,or,17,0.006202116016052536
X,21,oteey,17,0.006202116016052536
X,22,okaiin,17,0.006202116016052536
X,23,qokal,16,0.005837285662167092
X,24,lchedy,15,0.005472455308281649
X,25,otedy,14,0.005107624954396206
X,26,sheol,13,0.0047427946005107625
X,27,cheol,13,0.0047427946005107625
X,28,sar,12,0.004377964246625319
X,29,qotar,12,0.004377964246625319
X,30,otain,12,0.004377964246625319
Y,1,daiin,18,0.02368421052631579
Y,2,aiin,17,0.02236842105263158
Y,3,ar,13,0.017105263157894738
Y,4,al,13,0.017105263157894738
Y,5,otaiin,12,0.015789473684210527
Y,6,chedy,11,0.014473684210526316
Y,7,or,10,0.013157894736842105
Y,8,dar,7,0.009210526315789473
Y,9,ol,7,0.009210526315789473
Y,10,okaiin,7,0.009210526315789473
Y,11,qokaiin,6,0.007894736842105263
Y,12,oteedy,6,0.007894736842105263
Y,13,otar,6,0.007894736842105263
Y,14,otair,6,0.007894736842105263
Y,15,cheey,5,0.006578947368421052
Y,16,odaiin,5,0.006578947368421052
Y,17,aiiin,5,0.006578947368421052
Y,18,air,5,0.006578947368421052
Y,19,qokedy,5,0.006578947368421052
Y,20,raiin,4,0.005263157894736842
Y,21,odar,4,0.005263157894736842
Y,22,cheody,4,0.005263157894736842
Y,23,qokeedy,4,0.005263157894736842
Y,24,qopchedy,4,0.005263157894736842
Y,25,sheey,4,0.005263157894736842
Y,26,chey,4,0.005263157894736842
Y,27,r,4,0.005263157894736842
Y,28,lkaiin,4,0.005263157894736842
Y,29,saiin,4,0.005263157894736842
Y,30,dal,4,0.005263157894736842
