locator,folio_id,hand,reason
"f57v.1,@L0;H",f57v,,hand label is blank
"f57v.2,@Cc;H",f57v,,hand label is blank
"f57v.3,+Cc;H",f57v,,hand label is blank
"f57v.4,+Cc;H",f57v,,hand label is blank
"f57v.5,+Cc;H",f57v,,hand label is blank
"f57v.8,@L0;H",f57v,,hand label is blank
"f57v.7,@L0;H",f57v,,hand label is blank
"f57v.9,@L0;H",f57v,,hand label is blank
"f57v.6,@L0;H",f57v,,hand label is blank
"f57v.11,@Ro;H",f57v,,hand label is blank
"f57v.12,@Ro;H",f57v,,hand label is blank
"f57v.13,@Ro;H",f57v,,hand label is blank
"f57v.10,@Ro;H",f57v,,hand label is blank
"f58r.1,@P0;H",f58r,,hand label is blank
"f58r.2,+P0;H",f58r,,hand label is blank
"f58r.3,+P0;H",f58r,,hand label is blank
"f58r.4,+P0;H",f58r,,hand label is blank
"f58r.5,+P0;H",f58r,,hand label is blank
"f58r.6,+P0;H",f58r,,hand label is blank
"f58r.7,+P0;H",f58r,,hand label is blank
"f58r.8,+P0;H",f58r,,hand label is blank
"f58r.9,+P0;H",f58r,,hand label is blank
"f58r.10,+P0;H",f58r,,hand label is blank
"f58r.11,+P0;H",f58r,,hand label is blank
"f58r.12,+P0;H",f58r,,hand label is blank
"f58r.13,+P0;H",f58r,,hand label is blank
"f58r.14,+P0;H",f58r,,hand label is blank
"f58r.15,+P0;H",f58r,,hand label is blank
"f58r.16,+P0;H",f58r,,hand label is blank
"f58r.17,+P0;H",f58r,,hand label is blank
"f58r.18,+P0;H",f58r,,hand label is blank
"f58r.19,+P0;H",f58r,,hand label is blank
"f58r.20,+P0;H",f58r,,hand label is blank
"f58r.21,+P0;H",f58r,,hand label is blank
"f58r.22,+P0;H",f58r,,hand label is blank
"f58r.23,+P0;H",f58r,,hand label is blank
"f58r.24,+P0;H",f58r,,hand label is blank
"f58r.25,+P0;H",f58r,,hand label is blank
"f58r.26,+P0;H",f58r,,hand label is blank
"f58r.27,+P0;H",f58r,,hand label is blank
"f58r.28,+P0;H",f58r,,hand label is blank
"f58r.29,+P0;H",f58r,,hand label is blank
"f58r.30,+P0;H",f58r,,hand label is blank
"f58r.31,+P0;H",f58r,,hand label is blank
"f58r.32,+P0;H",f58r,,hand label is blank
"f58r.33,+P0;H",f58r,,hand label is blank
"f58r.34,+P0;H",f58r,,hand label is blank
"f58r.35,+P0;H",f58r,,hand label is blank
"f58r.36,+P0;H",f58r,,hand label is blank
"f58r.37,+P0;H",f58r,,hand label is blank
"f58r.38,+P0;H",f58r,,hand label is blank
"f58r.39,+P0;H",f58r,,hand label is blank
"f58r.40,+P0;H",f58r,,hand label is blank
"f58r.41,+P0;H",f58r,,hand label is blank
"f58v.1,@P0;H",f58v,,hand label is blank
"f58v.2,+P0;H",f58v,,hand label is blank
"f58v.3,+P0;H",f58v,,hand label is blank
"f58v.4,+P0;H",f58v,,hand label is blank
"f58v.5,+P0;H",f58v,,hand label is blank
"f58v.6,+P0;H",f58v,,hand label is blank
"f58v.7,+P0;H",f58v,,hand label is blank
"f58v.8,+P0;H",f58v,,hand label is blank
"f58v.9,+P0;H",f58v,,hand label is blank
"f58v.10,+P0;H",f58v,,hand label is blank
"f58v.11,+P0;H",f58v,,hand label is blank
"f58v.12,+P0;H",f58v,,hand label is blank
"f58v.13,+P0;H",f58v,,hand label is blank
"f58v.14,+P0;H",f58v,,hand label is blank
"f58v.15,+P0;H",f58v,,hand label is blank
"f58v.16,+P0;H",f58v,,hand label is blank
"f58v.17,+P0;H",f58v,,hand label is blank
"f58v.18,+P0;H",f58v,,hand label is blank
"f58v.19,+P0;H",f58v,,hand label is blank
"f58v.20,+P0;H",f58v,,hand label is blank
"f58v.21,+P0;H",f58v,,hand label is blank
"f58v.22,+Pc;H",f58v,,hand label is blank
"f58v.23,*P0;H",f58v,,hand label is blank
"f58v.24,+P0;H",f58v,,hand label is blank
"f58v.25,+P0;H",f58v,,hand label is blank
"f58v.26,+P0;H",f58v,,hand label is blank
"f58v.27,+P0;H",f58v,,hand label is blank
"f58v.28,+P0;H",f58v,,hand label is blank
"f58v.29,+P0;H",f58v,,hand label is blank
"f58v.30,+P0;H",f58v,,hand label is blank
"f58v.31,+P0;H",f58v,,hand label is blank
"f58v.32,+P0;H",f58v,,hand label is blank
"f58v.33,+P0;H",f58v,,hand label is blank
"f58v.34,+P0;H",f58v,,hand label is blank
"f58v.35,+P0;H",f58v,,hand label is blank
"f58v.36,+P0;H",f58v,,hand label is blank
"f58v.37,+P0;H",f58v,,hand label is blank
"f58v.38,+P0;H",f58v,,hand label is blank
"f58v.39,+P0;H",f58v,,hand label is blank
"f65r.1,@Lp;H",f65r,,hand label is blank
"f65v.1,@P0;H",f65v,,hand label is blank
"f65v.2,+P0;H",f65v,,hand label is blank
"f65v.3,+P0;H",f65v,,hand label is blank
"f65v.4,+P0;H",f65v,,hand label is blank
"f65v.5,+P0;H",f65v,,hand label is blank
"f65v.6,+P0;H",f65v,,hand label is blank
"f66r.1,@L0;H",f66r,,hand label is blank
"f66r.2,+L0;H",f66r,,hand label is blank
"f66r.3,+L0;H",f66r,,hand label is blank
"f66r.4,+L0;H",f66r,,hand label is blank
"f66r.5,+L0;H",f66r,,hand label is blank
"f66r.6,+L0;H",f66r,,hand label is blank
